id,sku,batch,ppap_attached,vda_attached,type
DOC-00042,FL-3107-2818,B-650,True,True,Cycle count
DOC-00043,PO-7065-4188,B-933,True,True,ASN
DOC-00044,CH-7170-2322,B-744,True,True,ASN
DOC-00045,EL-9424-379,B-289,True,True,ASN
DOC-00046,EL-3518-1368,B-999,True,True,Cycle count
DOC-00047,EL-6223-4708,B-708,True,True,Cycle count
DOC-00048,FL-9644-3203,B-211,True,True,Cycle count
DOC-00049,EL-1968-3996,B-307,True,True,Invoice
DOC-00050,CH-2086-3518,B-113,True,True,ASN
DOC-00051,PO-8141-2637,B-150,True,True,VDA
DOC-00052,EL-6085-3059,B-258,True,True,VDA
DOC-00053,CH-1261-052,B-257,True,True,Invoice
DOC-00054,EL-9428-2903,B-935,True,True,Invoice
DOC-00055,IN-1823-4015,B-223,True,True,Cycle count
DOC-00056,PO-5680-4867,B-734,True,True,Invoice
DOC-00057,FL-3171-3495,B-795,True,True,ASN
DOC-00058,PO-2754-685,B-315,True,True,VDA
DOC-00059,PO-5468-1017,B-856,True,True,Cycle count
DOC-00060,PO-4966-303,B-267,True,True,PPAP
DOC-00061,CH-1425-1577,B-374,True,True,VDA
DOC-00062,EL-6010-544,B-540,True,True,PPAP
DOC-00063,FL-6026-1700,B-417,True,True,ASN
DOC-00064,PO-4600-3910,B-992,True,True,VDA
DOC-00065,EL-6958-852,B-930,True,True,Invoice
DOC-00066,EL-1817-3778,B-736,True,True,VDA
DOC-00067,PO-5900-1090,B-770,True,True,VDA
DOC-00068,CH-9641-692,B-336,True,True,VDA
DOC-00069,IN-7308-2298,B-502,True,True,PPAP
DOC-00070,IN-9237-1355,B-807,True,True,Invoice
DOC-00071,EL-4532-1333,B-315,True,True,Invoice
DOC-00072,PO-6437-4124,B-704,True,True,PPAP
DOC-00073,CH-7419-717,B-356,True,True,Invoice
DOC-00074,CH-6767-3640,B-582,True,True,Cycle count
DOC-00075,IN-8867-962,B-702,True,True,PPAP
DOC-00076,IN-4864-884,B-513,True,True,ASN
DOC-00077,PO-7980-1693,B-858,True,True,VDA
DOC-00078,FL-1733-4657,B-465,True,True,Cycle count
DOC-00079,FL-8447-1364,B-991,True,True,Invoice
DOC-00080,EL-2614-4974,B-870,True,True,VDA
DOC-00081,EL-5727-672,B-432,True,True,PPAP
DOC-00082,FL-4381-3943,B-338,True,True,Invoice
DOC-00083,EL-2707-1107,B-655,True,True,Invoice
DOC-00084,FL-3549-514,B-623,True,True,Cycle count
DOC-00085,PO-4557-4772,B-557,True,True,Cycle count
DOC-00086,PO-9121-2734,B-766,True,True,Invoice
DOC-00087,CH-9945-3803,B-783,True,True,ASN
DOC-00088,CH-8243-757,B-148,True,True,Invoice
DOC-00089,FL-1316-3509,B-243,True,True,ASN
DOC-00090,CH-3878-2335,B-147,True,True,ASN
DOC-00091,FL-8366-205,B-726,True,True,VDA
DOC-00092,PO-6080-1371,B-631,True,True,ASN
DOC-00093,CH-2109-934,B-117,True,True,VDA
DOC-00094,PO-5000-1089,B-619,True,True,Cycle count
DOC-00095,PO-3358-4208,B-536,False,True,Invoice
DOC-00096,CH-3465-1487,B-828,True,True,Cycle count
DOC-00097,FL-2070-4231,B-226,True,True,Invoice
DOC-00098,CH-9138-2741,B-289,True,True,PPAP
DOC-00099,PO-1190-1251,B-929,True,True,VDA
DOC-00100,CH-9904-3805,B-428,True,True,PPAP
DOC-00101,FL-4556-1180,B-511,True,True,Cycle count
DOC-00102,PO-7065-4188,B-876,True,True,ASN
DOC-00103,CH-9553-4750,B-935,True,True,Invoice
DOC-00104,CH-6640-474,B-766,True,True,PPAP
DOC-00105,FL-5552-2119,B-867,True,True,ASN
DOC-00106,FL-4860-2206,B-544,True,True,ASN
DOC-00107,PO-9204-1969,B-711,True,True,Invoice
DOC-00108,PO-4329-815,B-449,True,True,VDA
DOC-00109,EL-6386-2491,B-642,True,True,Invoice
DOC-00110,IN-2340-944,B-155,True,True,Invoice
DOC-00111,FL-3687-1223,B-343,True,True,ASN
DOC-00112,IN-5430-4508,B-947,True,True,Cycle count
DOC-00113,CH-5031-117,B-426,True,True,ASN
DOC-00114,EL-1491-1818,B-214,True,True,ASN
DOC-00115,PO-8540-2426,B-757,True,True,Cycle count
DOC-00116,IN-6789-2203,B-464,True,True,Cycle count
DOC-00117,PO-3265-4114,B-268,True,True,Cycle count
DOC-00118,FL-2103-3369,B-624,True,True,Invoice
DOC-00119,EL-9757-4191,B-919,True,True,Invoice
DOC-00120,CH-5919-3302,B-748,True,True,Cycle count
DOC-00121,EL-9644-2445,B-239,True,True,ASN
DOC-00122,CH-2023-2294,B-261,True,True,Cycle count
DOC-00123,EL-9937-563,B-121,True,True,Cycle count
DOC-00124,FL-2229-4277,B-877,True,True,ASN
DOC-00125,FL-2081-1201,B-533,True,True,VDA
DOC-00126,IN-2138-2242,B-905,True,True,Cycle count
DOC-00127,IN-1731-1794,B-604,True,True,PPAP
DOC-00128,PO-5550-3213,B-846,True,True,Cycle count
DOC-00129,CH-3777-3256,B-796,True,True,PPAP
DOC-00130,IN-4026-1148,B-121,True,True,Invoice
DOC-00131,FL-8952-1254,B-457,True,True,VDA
DOC-00132,FL-2103-3369,B-905,True,True,VDA
DOC-00133,CH-6920-074,B-302,True,True,VDA
DOC-00134,EL-9348-742,B-313,True,True,ASN
DOC-00135,CH-1364-3510,B-264,True,True,Cycle count
DOC-00136,EL-1370-298,B-314,True,True,Invoice
DOC-00137,EL-8049-1869,B-190,True,True,ASN
DOC-00138,CH-2793-2097,B-300,True,True,PPAP
DOC-00139,FL-1508-1274,B-393,True,True,VDA
DOC-00140,CH-2813-015,B-513,True,True,Cycle count
DOC-00141,CH-4894-2861,B-198,True,True,VDA
DOC-00142,EL-2742-2972,B-481,True,True,VDA
DOC-00143,CH-1683-3380,B-519,True,True,VDA
DOC-00144,FL-1733-4657,B-239,True,True,Invoice
DOC-00145,CH-5952-3178,B-180,True,True,Invoice
DOC-00146,PO-1051-3068,B-543,True,True,Cycle count
DOC-00147,IN-1988-4676,B-995,True,True,PPAP
DOC-00148,FL-8348-1483,B-399,True,True,PPAP
DOC-00149,PO-6181-2753,B-634,True,True,Invoice
DOC-00150,PO-3046-3784,B-727,True,True,Invoice
DOC-00151,FL-5627-4329,B-336,True,True,VDA
DOC-00152,CH-1851-554,B-351,True,True,Invoice
DOC-00153,CH-4531-4679,B-221,True,True,VDA
DOC-00154,PO-9457-361,B-328,True,True,VDA
DOC-00155,FL-8768-2248,B-810,True,True,ASN
DOC-00156,IN-9653-3041,B-169,True,True,ASN
DOC-00157,CH-2808-3425,B-901,True,True,PPAP
DOC-00158,CH-4629-2283,B-239,True,True,Invoice
DOC-00159,CH-9568-4454,B-992,True,True,Invoice
DOC-00160,IN-8838-160,B-660,True,True,PPAP
DOC-00161,CH-7141-1974,B-180,True,True,Cycle count
DOC-00162,EL-4874-900,B-243,True,True,VDA
DOC-00163,CH-7825-4410,B-291,True,True,PPAP
DOC-00164,PO-2075-876,B-807,True,True,Cycle count
DOC-00165,CH-7359-1365,B-596,True,True,Cycle count
DOC-00166,CH-8751-230,B-978,True,True,VDA
DOC-00167,EL-6026-4466,B-100,True,True,ASN
DOC-00168,IN-1528-2997,B-840,True,True,Cycle count
DOC-00169,IN-5164-1647,B-896,True,True,Invoice
DOC-00170,FL-4375-1987,B-441,True,True,Invoice
DOC-00171,PO-8862-2553,B-358,True,True,PPAP
DOC-00172,FL-3168-4768,B-689,True,True,VDA
DOC-00173,FL-1092-2563,B-421,True,True,ASN
DOC-00174,CH-3846-4436,B-522,True,True,PPAP
DOC-00175,CH-5632-2943,B-178,True,True,Cycle count
DOC-00176,PO-5888-2256,B-373,True,True,PPAP
DOC-00177,FL-7895-1184,B-669,True,True,Cycle count
DOC-00178,FL-8796-3852,B-649,True,True,PPAP
DOC-00179,EL-3329-196,B-246,True,True,VDA
DOC-00180,FL-8801-3014,B-681,True,True,Invoice
DOC-00181,IN-8932-2080,B-334,True,True,PPAP
DOC-00182,EL-9171-4589,B-800,True,True,PPAP
DOC-00183,FL-2358-206,B-673,True,True,VDA
DOC-00184,IN-9892-2034,B-598,True,True,Invoice
DOC-00185,EL-7505-4902,B-408,True,True,ASN
DOC-00186,FL-1535-3950,B-459,True,True,Invoice
DOC-00187,PO-3490-3281,B-889,True,True,Invoice
DOC-00188,IN-3909-1946,B-335,True,True,PPAP
DOC-00189,PO-3735-2644,B-339,True,True,PPAP
DOC-00190,IN-2607-3713,B-450,True,True,Cycle count
DOC-00191,IN-2847-1918,B-826,True,True,ASN
DOC-00192,PO-3008-1249,B-304,True,True,VDA
DOC-00193,EL-2371-2761,B-136,True,True,VDA
DOC-00194,PO-4600-3910,B-599,True,True,PPAP
DOC-00195,EL-8368-2084,B-170,True,True,Invoice
DOC-00196,FL-3201-4813,B-520,True,True,PPAP
DOC-00197,PO-1537-1746,B-409,True,True,Invoice
DOC-00198,FL-5263-029,B-780,True,True,Invoice
DOC-00199,CH-1195-1629,B-868,True,True,ASN
DOC-00200,CH-3642-3731,B-690,True,True,Invoice
