id,worker,zone,shift,task_type,pick_rate,exceptions,overtime_hours,recorded_at
WKR-00055,Operator 475,A-12,A,replenishment,47,2,0.3,2026-06-15T11:44:52+00:00
WKR-00056,Operator 768,B-07,C,picking,93,0,0.2,2026-06-21T17:55:52+00:00
WKR-00057,Operator 579,Q-04,A,picking,84,0,0.7,2026-06-20T03:17:52+00:00
WKR-00058,Operator 196,B-07,C,quality,52,1,0.7,2026-06-12T23:40:52+00:00
WKR-00059,Operator 135,HZ-02,C,picking,99,3,0.4,2026-07-15T09:40:52+00:00
WKR-00060,Operator 388,Q-04,C,quality,67,3,0.7,2026-07-14T15:54:52+00:00
WKR-00061,Operator 757,Q-04,B,packing,77,4,0.8,2026-05-23T02:39:52+00:00
WKR-00062,Operator 458,Q-04,C,picking,94,0,0.6,2026-06-14T09:38:52+00:00
WKR-00063,Operator 232,JIS-07,A,replenishment,83,1,0.6,2026-06-22T19:14:52+00:00
WKR-00064,Operator 391,Q-04,A,packing,77,4,0.9,2026-06-19T01:52:52+00:00
WKR-00065,Operator 222,JIS-07,A,replenishment,78,0,0.2,2026-06-16T12:41:52+00:00
WKR-00066,Operator 843,JIS-07,C,picking,103,4,0.5,2026-06-22T02:11:52+00:00
WKR-00067,Operator 453,Q-04,B,replenishment,62,0,0.3,2026-05-26T04:44:52+00:00
WKR-00068,Operator 674,HZ-02,C,quality,62,3,0.2,2026-06-24T12:27:52+00:00
WKR-00069,Operator 339,Q-04,B,packing,66,3,0.6,2026-06-22T04:31:52+00:00
WKR-00070,Operator 377,JIS-07,A,packing,70,4,0,2026-06-03T01:44:52+00:00
WKR-00071,Operator 101,JIS-07,B,picking,90,3,1.1,2026-07-03T17:17:52+00:00
WKR-00072,Operator 592,JIS-07,C,picking,94,1,0.1,2026-06-04T01:41:52+00:00
WKR-00073,Operator 641,Q-04,A,picking,82,4,0.9,2026-06-14T15:52:52+00:00
WKR-00074,Operator 125,JIS-07,C,picking,75,2,0.5,2026-06-09T09:47:52+00:00
WKR-00075,Operator 802,JIS-07,C,quality,41,4,0.6,2026-05-26T19:36:52+00:00
WKR-00076,Operator 578,A-12,B,picking,100,4,0.6,2026-05-23T10:14:52+00:00
WKR-00077,Operator 607,JIS-07,A,picking,98,4,0.9,2026-06-06T07:22:52+00:00
WKR-00078,Operator 393,JIS-07,B,replenishment,75,0,0.9,2026-07-16T19:49:52+00:00
WKR-00079,Operator 547,B-07,A,replenishment,66,2,0.5,2026-06-01T03:34:52+00:00
WKR-00080,Operator 586,A-12,C,picking,79,0,0.5,2026-06-13T08:08:52+00:00
WKR-00081,Operator 207,Q-04,C,replenishment,61,2,0.9,2026-05-26T01:42:52+00:00
WKR-00082,Operator 266,A-12,C,packing,81,3,1.0,2026-06-28T13:10:52+00:00
WKR-00083,Operator 043,A-12,A,replenishment,67,4,0.7,2026-06-13T01:30:52+00:00
WKR-00084,Operator 073,JIS-07,C,quality,69,0,0.6,2026-07-02T00:11:52+00:00
WKR-00085,Operator 555,HZ-02,A,replenishment,65,1,0.3,2026-07-18T07:36:52+00:00
WKR-00086,Operator 510,HZ-02,B,replenishment,93,2,0,2026-06-29T16:41:52+00:00
WKR-00087,Operator 577,HZ-02,A,picking,103,0,0.8,2026-05-22T05:52:52+00:00
WKR-00088,Operator 384,HZ-02,B,packing,77,1,1.0,2026-07-07T23:51:52+00:00
WKR-00089,Operator 484,HZ-02,A,packing,78,1,1.3,2026-05-29T10:14:52+00:00
WKR-00090,Operator 174,JIS-07,C,packing,66,1,1.6,2026-06-19T10:03:52+00:00
WKR-00091,Operator 376,HZ-02,A,packing,69,2,0.5,2026-07-05T09:23:52+00:00
WKR-00092,Operator 760,Q-04,C,packing,68,3,1.3,2026-05-31T05:03:52+00:00
WKR-00093,Operator 004,Q-04,C,replenishment,64,0,0.3,2026-06-24T11:42:52+00:00
WKR-00094,Operator 024,Q-04,A,packing,82,0,0.1,2026-06-19T17:47:52+00:00
WKR-00095,Operator 229,JIS-07,C,picking,100,2,0.7,2026-06-03T11:45:52+00:00
WKR-00096,Operator 258,JIS-07,C,replenishment,67,3,1.1,2026-06-15T06:40:52+00:00
WKR-00097,Operator 689,B-07,C,picking,94,3,0.9,2026-06-27T08:28:52+00:00
WKR-00098,Operator 660,JIS-07,C,packing,76,0,1.0,2026-06-29T18:16:52+00:00
WKR-00099,Operator 258,HZ-02,A,picking,101,2,0,2026-06-22T03:34:52+00:00
WKR-00100,Operator 041,JIS-07,B,replenishment,65,1,0.7,2026-07-14T12:22:52+00:00
WKR-00101,Operator 062,A-12,A,quality,50,3,0.6,2026-07-10T20:46:52+00:00
WKR-00102,Operator 802,Q-04,B,packing,67,1,0.7,2026-06-10T15:34:52+00:00
WKR-00103,Operator 388,B-07,B,picking,97,3,0.0,2026-07-09T17:29:52+00:00
WKR-00104,Operator 181,HZ-02,B,quality,60,3,0.4,2026-07-03T13:00:52+00:00
WKR-00105,Operator 114,Q-04,A,picking,69,2,1.1,2026-07-15T06:03:52+00:00
WKR-00106,Operator 380,Q-04,C,packing,70,1,0.5,2026-07-15T18:27:52+00:00
WKR-00107,Operator 744,JIS-07,C,picking,87,2,0.9,2026-06-25T17:11:52+00:00
WKR-00108,Operator 613,A-12,C,packing,70,0,0.4,2026-05-30T18:16:52+00:00
WKR-00109,Operator 417,A-12,C,picking,98,1,0.8,2026-06-20T04:51:52+00:00
WKR-00110,Operator 416,HZ-02,C,packing,80,2,0,2026-06-24T14:18:52+00:00
WKR-00111,Operator 210,HZ-02,C,replenishment,85,0,0.2,2026-06-29T10:25:52+00:00
WKR-00112,Operator 639,JIS-07,B,packing,74,4,0.6,2026-07-19T00:32:52+00:00
WKR-00113,Operator 394,HZ-02,B,replenishment,63,0,0.6,2026-07-15T23:31:52+00:00
WKR-00114,Operator 563,HZ-02,B,quality,52,0,0.6,2026-07-03T02:02:52+00:00
WKR-00115,Operator 050,A-12,C,replenishment,58,1,0.7,2026-06-30T09:02:52+00:00
WKR-00116,Operator 099,HZ-02,C,replenishment,65,0,0.5,2026-06-03T08:52:52+00:00
WKR-00117,Operator 005,Q-04,B,picking,97,0,0.4,2026-06-03T14:30:52+00:00
WKR-00118,Operator 263,B-07,B,quality,51,2,0.6,2026-06-16T07:20:52+00:00
WKR-00119,Operator 816,Q-04,A,replenishment,58,3,0.5,2026-06-15T09:21:52+00:00
WKR-00120,Operator 537,Q-04,A,quality,54,2,0.1,2026-05-30T09:55:52+00:00
WKR-00121,Operator 308,B-07,C,quality,45,0,0,2026-06-18T03:01:52+00:00
WKR-00122,Operator 148,Q-04,A,packing,93,2,0.2,2026-06-01T03:29:52+00:00
WKR-00123,Operator 082,B-07,B,replenishment,76,0,0.7,2026-06-07T18:16:52+00:00
WKR-00124,Operator 732,A-12,A,packing,78,3,0.7,2026-06-02T20:49:52+00:00
WKR-00125,Operator 330,HZ-02,B,quality,31,7,6.9,2026-07-18T03:26:52+00:00
WKR-00126,Operator 428,Q-04,B,replenishment,66,2,1.0,2026-06-06T07:51:52+00:00
WKR-00127,Operator 380,HZ-02,A,quality,50,4,0.6,2026-06-09T08:47:52+00:00
WKR-00128,Operator 081,HZ-02,C,quality,63,0,0.8,2026-05-23T15:24:52+00:00
WKR-00129,Operator 642,Q-04,A,quality,49,4,0,2026-06-15T22:17:52+00:00
WKR-00130,Operator 044,A-12,A,picking,90,0,0.6,2026-07-19T11:37:52+00:00
WKR-00131,Operator 736,HZ-02,C,quality,31,9,5.8,2026-07-19T21:19:52+00:00
WKR-00132,Operator 158,HZ-02,A,packing,85,1,0.6,2026-05-21T23:39:52+00:00
WKR-00133,Operator 266,A-12,A,replenishment,73,4,0.6,2026-05-27T02:18:52+00:00
WKR-00134,Operator 673,B-07,C,replenishment,77,2,1.0,2026-06-30T04:09:52+00:00
WKR-00135,Operator 231,JIS-07,C,replenishment,54,0,0.7,2026-07-16T10:56:52+00:00
WKR-00136,Operator 419,HZ-02,B,packing,71,0,0.9,2026-07-15T03:49:52+00:00
WKR-00137,Operator 725,JIS-07,B,picking,85,4,0.3,2026-06-26T03:57:52+00:00
WKR-00138,Operator 738,A-12,C,picking,112,2,0.8,2026-06-16T08:07:52+00:00
WKR-00139,Operator 233,Q-04,B,packing,69,4,0.1,2026-06-23T10:58:52+00:00
WKR-00140,Operator 079,B-07,A,picking,94,2,0.7,2026-06-22T22:24:52+00:00
WKR-00141,Operator 718,JIS-07,A,quality,37,2,1.5,2026-06-03T05:31:52+00:00
WKR-00142,Operator 113,JIS-07,B,quality,61,0,0,2026-07-01T15:55:52+00:00
WKR-00143,Operator 464,HZ-02,C,packing,83,1,0.4,2026-07-11T12:55:52+00:00
WKR-00144,Operator 736,Q-04,A,replenishment,65,4,0.6,2026-05-31T04:06:52+00:00
WKR-00145,Operator 425,HZ-02,C,replenishment,77,3,0.9,2026-07-11T13:55:52+00:00
WKR-00146,Operator 670,Q-04,B,replenishment,63,3,0.1,2026-07-16T12:21:52+00:00
WKR-00147,Operator 008,A-12,A,packing,72,3,0.4,2026-07-16T13:31:52+00:00
WKR-00148,Operator 574,A-12,C,picking,92,2,0.9,2026-07-10T07:33:52+00:00
WKR-00149,Operator 355,HZ-02,C,quality,56,1,0.9,2026-07-01T14:17:52+00:00
WKR-00150,Operator 233,B-07,A,quality,58,2,1.0,2026-07-11T21:57:52+00:00
WKR-00151,Operator 789,JIS-07,C,packing,80,0,0.8,2026-06-27T14:01:52+00:00
WKR-00152,Operator 079,A-12,B,packing,87,3,0.4,2026-07-10T10:26:52+00:00
WKR-00153,Operator 118,HZ-02,B,packing,79,1,1.2,2026-06-14T09:45:52+00:00
WKR-00154,Operator 482,HZ-02,C,quality,30,10,6.0,2026-07-15T15:10:52+00:00
WKR-00155,Operator 409,HZ-02,A,replenishment,59,0,0.2,2026-07-04T11:11:52+00:00
WKR-00156,Operator 256,A-12,C,quality,58,1,0.9,2026-06-15T10:37:52+00:00
WKR-00157,Operator 383,HZ-02,C,quality,41,2,0.8,2026-07-01T22:31:52+00:00
WKR-00158,Operator 047,JIS-07,B,replenishment,77,3,1.0,2026-06-13T10:00:52+00:00
WKR-00159,Operator 206,B-07,C,packing,76,0,0.7,2026-07-14T13:07:52+00:00
WKR-00160,Operator 537,HZ-02,B,packing,98,2,0,2026-05-31T08:21:52+00:00
WKR-00161,Operator 644,HZ-02,B,replenishment,60,3,0.3,2026-07-03T00:49:52+00:00
WKR-00162,Operator 762,Q-04,B,replenishment,71,2,0.1,2026-06-26T21:41:52+00:00
WKR-00163,Operator 200,HZ-02,A,quality,46,2,1.4,2026-05-27T12:12:52+00:00
WKR-00164,Operator 566,B-07,C,quality,33,3,0.6,2026-06-22T21:51:52+00:00
WKR-00165,Operator 772,B-07,B,quality,78,1,0.3,2026-07-13T02:47:52+00:00
WKR-00166,Operator 745,HZ-02,A,replenishment,73,3,0.1,2026-07-14T20:50:52+00:00
WKR-00167,Operator 287,HZ-02,B,replenishment,69,1,0.7,2026-06-02T15:15:52+00:00
WKR-00168,Operator 137,Q-04,A,packing,73,2,0.8,2026-05-24T11:10:52+00:00
WKR-00169,Operator 812,HZ-02,C,replenishment,58,2,1.1,2026-06-16T02:45:52+00:00
WKR-00170,Operator 019,JIS-07,B,replenishment,79,1,0.9,2026-06-16T09:45:52+00:00
WKR-00171,Operator 380,Q-04,A,picking,83,4,0.3,2026-05-21T10:27:52+00:00
WKR-00172,Operator 084,B-07,C,picking,103,4,1.0,2026-06-07T18:00:52+00:00
WKR-00173,Operator 748,B-07,A,packing,61,0,0.5,2026-06-09T03:12:52+00:00
WKR-00174,Operator 176,Q-04,A,quality,67,0,0.5,2026-07-10T00:11:52+00:00
WKR-00175,Operator 744,HZ-02,A,quality,53,3,0.9,2026-06-17T20:45:52+00:00
WKR-00176,Operator 585,A-12,B,packing,69,4,1.5,2026-07-03T15:52:52+00:00
WKR-00177,Operator 461,A-12,B,quality,64,2,0.1,2026-06-30T14:06:52+00:00
WKR-00178,Operator 753,JIS-07,C,quality,48,4,1.2,2026-06-10T17:00:52+00:00
WKR-00179,Operator 511,A-12,C,packing,78,2,0.8,2026-06-25T20:04:52+00:00
WKR-00180,Operator 418,A-12,C,packing,63,3,0,2026-06-03T15:01:52+00:00
WKR-00181,Operator 519,Q-04,A,replenishment,68,3,0.3,2026-06-18T13:56:52+00:00
WKR-00182,Operator 634,JIS-07,C,picking,94,2,0.2,2026-06-25T03:04:52+00:00
WKR-00183,Operator 777,A-12,C,packing,69,0,0.4,2026-06-21T18:19:52+00:00
WKR-00184,Operator 040,A-12,A,replenishment,61,4,0.8,2026-07-12T10:45:52+00:00
WKR-00185,Operator 632,Q-04,B,quality,57,2,0.4,2026-06-17T03:04:52+00:00
WKR-00186,Operator 322,JIS-07,B,replenishment,75,1,0.7,2026-07-04T09:08:52+00:00
WKR-00187,Operator 129,B-07,A,packing,79,1,0.8,2026-06-12T11:53:52+00:00
WKR-00188,Operator 620,B-07,A,quality,57,2,0.5,2026-07-10T15:03:52+00:00
WKR-00189,Operator 654,JIS-07,A,replenishment,67,1,1.0,2026-07-06T11:32:52+00:00
WKR-00190,Operator 515,A-12,B,packing,87,3,1.0,2026-06-02T13:16:52+00:00
WKR-00191,Operator 396,HZ-02,B,picking,92,1,0.0,2026-06-23T12:49:52+00:00
WKR-00192,Operator 707,B-07,A,picking,94,1,0.5,2026-07-02T09:57:52+00:00
WKR-00193,Operator 809,B-07,B,packing,83,3,0,2026-06-07T09:47:52+00:00
WKR-00194,Operator 363,JIS-07,A,packing,85,3,0.5,2026-06-06T16:26:52+00:00
WKR-00195,Operator 831,Q-04,B,picking,89,3,1.6,2026-06-11T03:10:52+00:00
WKR-00196,Operator 196,Q-04,B,quality,40,0,1.3,2026-07-07T20:15:52+00:00
WKR-00197,Operator 397,B-07,A,replenishment,69,2,0.8,2026-07-14T19:31:52+00:00
WKR-00198,Operator 334,A-12,B,replenishment,61,1,0.5,2026-06-09T13:00:52+00:00
WKR-00199,Operator 235,JIS-07,B,quality,27,2,0,2026-06-20T19:28:52+00:00
WKR-00200,Operator 783,HZ-02,C,packing,76,3,0,2026-06-13T15:46:52+00:00
WKR-00201,Operator 248,B-07,C,packing,64,0,1.0,2026-06-28T23:01:52+00:00
WKR-00202,Operator 563,A-12,C,quality,55,1,0.2,2026-06-04T10:02:52+00:00
WKR-00203,Operator 068,B-07,A,quality,51,0,1.1,2026-05-25T19:53:52+00:00
WKR-00204,Operator 338,HZ-02,C,picking,100,0,0.3,2026-06-14T22:55:52+00:00
WKR-00205,Operator 093,Q-04,A,quality,51,1,0.4,2026-06-21T11:12:52+00:00
WKR-00206,Operator 545,JIS-07,A,packing,80,1,0.4,2026-07-09T10:41:52+00:00
WKR-00207,Operator 002,JIS-07,C,replenishment,66,3,0.6,2026-06-26T12:12:52+00:00
WKR-00208,Operator 297,JIS-07,A,quality,58,4,0.6,2026-05-31T00:50:52+00:00
WKR-00209,Operator 639,HZ-02,A,replenishment,67,1,0.4,2026-06-16T07:59:52+00:00
WKR-00210,Operator 804,Q-04,A,picking,105,0,0.9,2026-05-31T22:39:52+00:00
WKR-00211,Operator 491,A-12,A,picking,109,2,0,2026-06-01T05:40:52+00:00
WKR-00212,Operator 231,A-12,B,picking,100,0,0.6,2026-06-16T07:59:52+00:00
WKR-00213,Operator 799,Q-04,A,picking,95,2,0.2,2026-05-25T23:02:52+00:00
WKR-00214,Operator 085,Q-04,A,replenishment,83,3,0.4,2026-05-21T23:27:52+00:00
WKR-00215,Operator 508,Q-04,A,packing,66,1,0.8,2026-05-22T10:59:52+00:00
WKR-00216,Operator 414,A-12,A,replenishment,71,4,0.4,2026-06-12T16:16:52+00:00
WKR-00217,Operator 659,Q-04,B,picking,87,0,0.7,2026-07-14T00:43:52+00:00
WKR-00218,Operator 072,HZ-02,B,picking,78,4,0.4,2026-05-29T12:21:52+00:00
WKR-00219,Operator 541,HZ-02,C,quality,47,4,0.4,2026-06-22T05:31:52+00:00
WKR-00220,Operator 062,Q-04,A,quality,46,2,0.2,2026-06-27T17:07:52+00:00
WKR-00221,Operator 800,Q-04,B,quality,41,4,0.9,2026-05-28T11:23:52+00:00
WKR-00222,Operator 170,A-12,B,picking,89,2,0.5,2026-07-12T20:25:52+00:00
WKR-00223,Operator 213,HZ-02,B,replenishment,62,0,0.3,2026-07-02T06:22:52+00:00
WKR-00224,Operator 177,JIS-07,B,picking,94,0,1.0,2026-07-05T12:55:52+00:00
WKR-00225,Operator 024,A-12,B,quality,51,1,0.2,2026-05-22T03:13:52+00:00
WKR-00226,Operator 137,JIS-07,C,packing,69,2,0.7,2026-07-15T05:05:52+00:00
WKR-00227,Operator 139,B-07,B,quality,51,0,0,2026-06-08T11:52:52+00:00
WKR-00228,Operator 658,B-07,A,packing,95,1,0.9,2026-06-09T17:29:52+00:00
WKR-00229,Operator 127,HZ-02,B,packing,80,1,0.7,2026-06-27T01:08:52+00:00
WKR-00230,Operator 824,HZ-02,A,picking,95,2,0.5,2026-06-29T16:36:52+00:00
WKR-00231,Operator 045,B-07,C,packing,66,1,0,2026-07-15T14:07:52+00:00
WKR-00232,Operator 588,JIS-07,B,quality,43,0,0.8,2026-06-01T14:33:52+00:00
WKR-00233,Operator 618,HZ-02,A,picking,115,0,0.7,2026-06-04T20:45:52+00:00
WKR-00234,Operator 646,B-07,C,replenishment,68,4,0.6,2026-06-28T17:09:52+00:00
WKR-00235,Operator 048,Q-04,A,replenishment,78,4,0.7,2026-07-08T16:27:52+00:00
WKR-00236,Operator 061,JIS-07,C,replenishment,53,2,0.6,2026-06-07T21:54:52+00:00
WKR-00237,Operator 287,B-07,C,quality,60,4,1.4,2026-07-01T15:03:52+00:00
WKR-00238,Operator 729,Q-04,B,packing,75,4,0.4,2026-07-04T01:18:52+00:00
WKR-00239,Operator 803,HZ-02,C,picking,88,2,0.8,2026-06-15T05:12:52+00:00
WKR-00240,Operator 677,JIS-07,B,picking,99,3,0,2026-06-07T08:44:52+00:00
WKR-00241,Operator 270,A-12,C,picking,106,0,0.9,2026-06-10T18:49:52+00:00
WKR-00242,Operator 045,A-12,B,quality,69,1,1.1,2026-06-15T18:25:52+00:00
WKR-00243,Operator 829,B-07,A,quality,68,0,0.2,2026-07-18T01:09:52+00:00
WKR-00244,Operator 608,A-12,B,replenishment,60,4,0.4,2026-06-02T04:44:52+00:00
WKR-00245,Operator 573,B-07,B,replenishment,64,2,0.9,2026-06-20T10:52:52+00:00
WKR-00246,Operator 658,Q-04,B,packing,80,0,0.6,2026-07-06T13:48:52+00:00
WKR-00247,Operator 837,JIS-07,C,replenishment,65,3,1.2,2026-07-11T06:11:52+00:00
WKR-00248,Operator 028,HZ-02,B,quality,55,2,1.2,2026-06-05T21:29:52+00:00
WKR-00249,Operator 081,B-07,A,quality,64,3,0.6,2026-06-10T02:56:52+00:00
WKR-00250,Operator 769,HZ-02,B,quality,62,1,1.1,2026-06-02T19:36:52+00:00
WKR-00251,Operator 267,JIS-07,C,replenishment,56,2,1.1,2026-05-26T01:49:52+00:00
WKR-00252,Operator 199,B-07,C,replenishment,63,4,0.3,2026-06-04T09:27:52+00:00
WKR-00253,Operator 225,B-07,B,packing,67,1,0.9,2026-07-10T15:56:52+00:00
WKR-00254,Operator 211,HZ-02,B,picking,100,3,0.6,2026-06-06T19:46:52+00:00
WKR-00255,Operator 688,B-07,B,packing,71,4,0,2026-06-03T05:11:52+00:00
WKR-00256,Operator 390,HZ-02,B,picking,83,2,0,2026-06-28T18:30:52+00:00
WKR-00257,Operator 664,Q-04,B,packing,80,1,0.3,2026-07-16T15:00:52+00:00
WKR-00258,Operator 117,JIS-07,C,picking,91,3,1.4,2026-06-28T15:03:52+00:00
WKR-00259,Operator 168,Q-04,A,quality,49,2,0.9,2026-06-21T20:55:52+00:00
WKR-00260,Operator 559,JIS-07,B,replenishment,73,0,0.4,2026-05-27T10:32:52+00:00
WKR-00261,Operator 354,HZ-02,C,replenishment,75,4,0.5,2026-05-29T12:42:52+00:00
WKR-00262,Operator 220,A-12,C,packing,92,2,1.2,2026-07-10T12:15:52+00:00
WKR-00263,Operator 284,JIS-07,C,picking,85,2,0.7,2026-07-09T14:44:52+00:00
WKR-00264,Operator 727,A-12,C,quality,42,2,1.0,2026-06-22T14:08:52+00:00
WKR-00265,Operator 163,Q-04,A,picking,99,4,0.9,2026-06-24T04:46:52+00:00
WKR-00266,Operator 523,JIS-07,A,quality,68,0,0.3,2026-06-21T16:18:52+00:00
WKR-00267,Operator 264,JIS-07,C,packing,80,0,0,2026-06-13T21:43:52+00:00
WKR-00268,Operator 550,B-07,C,quality,65,3,0.1,2026-07-05T10:13:52+00:00
WKR-00269,Operator 382,HZ-02,B,replenishment,84,0,0.6,2026-06-01T14:36:52+00:00
WKR-00270,Operator 545,JIS-07,B,replenishment,72,3,0.6,2026-06-08T21:47:52+00:00
WKR-00271,Operator 211,Q-04,C,packing,76,1,0.2,2026-06-21T02:16:52+00:00
WKR-00272,Operator 371,A-12,C,packing,86,3,0,2026-06-14T02:39:52+00:00
WKR-00273,Operator 296,A-12,B,packing,70,3,0,2026-07-17T03:27:52+00:00
WKR-00274,Operator 131,A-12,A,picking,100,3,0.9,2026-07-02T04:01:52+00:00
WKR-00275,Operator 032,Q-04,A,packing,85,4,0.3,2026-05-26T10:48:52+00:00
WKR-00276,Operator 031,HZ-02,C,packing,79,2,0.8,2026-06-20T09:25:52+00:00
WKR-00277,Operator 842,B-07,C,quality,59,0,0.9,2026-06-23T08:03:52+00:00
WKR-00278,Operator 407,A-12,C,quality,57,2,0.3,2026-06-22T02:21:52+00:00
WKR-00279,Operator 136,Q-04,C,replenishment,70,4,0.9,2026-06-24T20:47:52+00:00
WKR-00280,Operator 462,HZ-02,C,picking,68,0,0.9,2026-06-05T07:13:52+00:00
WKR-00281,Operator 243,Q-04,C,picking,88,0,0,2026-05-27T20:29:52+00:00
WKR-00282,Operator 435,A-12,B,quality,53,3,0.4,2026-05-26T05:55:52+00:00
WKR-00283,Operator 344,B-07,C,replenishment,56,3,1.0,2026-07-14T04:35:52+00:00
WKR-00284,Operator 492,HZ-02,A,packing,46,3,0.7,2026-05-27T08:11:52+00:00
WKR-00285,Operator 352,HZ-02,B,packing,98,2,0.4,2026-06-26T18:05:52+00:00
WKR-00286,Operator 150,JIS-07,B,packing,63,2,0.9,2026-07-18T13:21:52+00:00
WKR-00287,Operator 256,HZ-02,A,replenishment,88,2,1.2,2026-06-03T01:19:52+00:00
