id,dock,departure,label_success,total_labels,staged_units,vehicle_capacity_kg,total_load_kg,carrier
DSP-00107,Dock 7,2026-07-20 18:13:34+00:00,12,12,207,17883,9891,Carrier-04
DSP-00108,Dock 7,2026-07-21 05:00:34+00:00,12,12,145,9199,6564,Carrier-17
DSP-00109,Dock 7,2026-07-20 15:36:34+00:00,12,12,75,14383,8053,Carrier-12
DSP-00110,Dock 11,2026-07-20 23:11:34+00:00,12,12,121,17510,10822,Carrier-19
DSP-00111,Dock 11,2026-07-20 14:26:34+00:00,12,12,136,11430,9085,Carrier-18
DSP-00112,Dock 5,2026-07-20 10:23:34+00:00,12,12,201,15179,12599,Carrier-03
DSP-00113,Dock 7,2026-07-21 09:09:34+00:00,12,12,205,9630,6249,Carrier-04
DSP-00114,Dock 7,2026-07-20 11:31:34+00:00,12,12,143,13973,6649,Carrier-18
DSP-00115,Dock 9,2026-07-20 19:50:34+00:00,12,12,131,10373,8056,Carrier-04
DSP-00116,Dock 9,2026-07-21 09:32:34+00:00,12,12,119,11421,9093,Carrier-08
DSP-00117,Dock 5,2026-07-20 23:42:34+00:00,12,12,113,10930,8945,Carrier-11
DSP-00118,Dock 5,2026-07-21 07:14:34+00:00,12,12,127,14469,6789,Carrier-04
DSP-00119,Dock 7,2026-07-20 20:17:34+00:00,12,12,80,11786,9860,Carrier-14
DSP-00120,Dock 9,2026-07-20 17:21:34+00:00,12,12,108,9380,6065,Carrier-22
DSP-00121,Dock 9,2026-07-21 09:44:34+00:00,12,12,101,15633,9484,Carrier-04
DSP-00122,Dock 7,2026-07-20 20:20:34+00:00,12,12,197,13260,7644,Carrier-18
DSP-00123,Dock 5,2026-07-21 09:00:34+00:00,12,12,220,7963,6307,Carrier-22
DSP-00124,Dock 11,2026-07-20 10:53:34+00:00,12,12,92,11412,8839,Carrier-15
DSP-00125,Dock 9,2026-07-21 12:13:34+00:00,12,12,117,14306,8074,Carrier-08
DSP-00126,Dock 3,2026-07-21 02:13:34+00:00,12,12,162,10686,5136,Carrier-15
DSP-00127,Dock 11,2026-07-20 18:02:34+00:00,12,12,191,16464,12064,Carrier-02
DSP-00128,Dock 9,2026-07-21 06:39:34+00:00,12,12,136,9152,7550,Carrier-05
DSP-00129,Dock 11,2026-07-21 07:44:34+00:00,12,12,200,7267,6361,Carrier-17
DSP-00130,Dock 9,2026-07-20 12:17:34+00:00,12,12,169,14183,12084,Carrier-10
DSP-00131,Dock 7,2026-07-20 13:32:34+00:00,12,12,133,17927,12420,Carrier-03
DSP-00132,Dock 3,2026-07-20 17:53:34+00:00,12,12,158,10993,6525,Carrier-05
DSP-00133,Dock 3,2026-07-20 17:28:34+00:00,12,12,130,8170,3783,Carrier-03
DSP-00134,Dock 11,2026-07-20 20:48:34+00:00,12,12,92,16683,13684,Carrier-17
DSP-00135,Dock 9,2026-07-20 12:51:34+00:00,12,12,186,13272,10442,Carrier-02
DSP-00136,Dock 3,2026-07-20 23:26:34+00:00,12,12,220,10109,8321,Carrier-20
DSP-00137,Dock 7,2026-07-20 21:14:34+00:00,12,12,144,17923,9380,Carrier-04
DSP-00138,Dock 3,2026-07-21 06:47:34+00:00,12,12,107,13791,11404,Carrier-01
DSP-00139,Dock 5,2026-07-20 23:16:34+00:00,12,12,85,7305,4645,Carrier-03
DSP-00140,Dock 3,2026-07-21 01:55:34+00:00,12,12,182,17618,13655,Carrier-05
DSP-00141,Dock 5,2026-07-20 21:55:34+00:00,12,12,219,9101,7305,Carrier-04
DSP-00142,Dock 5,2026-07-20 13:59:34+00:00,12,12,183,7414,5124,Carrier-10
DSP-00143,Dock 11,2026-07-21 06:34:34+00:00,12,12,186,14927,6727,Carrier-20
DSP-00144,Dock 5,2026-07-20 18:39:34+00:00,12,12,113,8505,5012,Carrier-02
DSP-00145,Dock 9,2026-07-21 02:11:34+00:00,12,12,204,15798,11926,Carrier-01
DSP-00146,Dock 5,2026-07-20 17:53:34+00:00,12,12,101,7357,6124,Carrier-16
DSP-00147,Dock 7,2026-07-20 21:09:34+00:00,12,12,215,17783,14627,Carrier-12
DSP-00148,Dock 11,2026-07-21 01:42:34+00:00,12,12,164,15768,7466,Carrier-17
DSP-00149,Dock 5,2026-07-21 06:07:34+00:00,12,12,186,7167,5889,Carrier-10
DSP-00150,Dock 3,2026-07-21 06:54:34+00:00,12,12,154,8313,5385,Carrier-04
DSP-00151,Dock 9,2026-07-20 22:42:34+00:00,12,12,75,7264,5804,Carrier-16
DSP-00152,Dock 11,2026-07-21 03:30:34+00:00,12,12,140,16040,11488,Carrier-08
DSP-00153,Dock 11,2026-07-21 05:57:34+00:00,12,12,113,12857,8566,Carrier-11
DSP-00154,Dock 5,2026-07-20 18:30:34+00:00,12,12,195,11549,7509,Carrier-12
DSP-00155,Dock 9,2026-07-21 09:28:34+00:00,12,12,112,14635,9187,Carrier-21
DSP-00156,Dock 9,2026-07-21 08:58:34+00:00,12,12,160,17223,11310,Carrier-10
DSP-00157,Dock 7,2026-07-20 20:28:34+00:00,12,12,77,14119,9908,Carrier-01
DSP-00158,Dock 3,2026-07-21 05:37:34+00:00,12,12,137,7591,5677,Carrier-18
DSP-00159,Dock 3,2026-07-21 06:35:34+00:00,12,12,94,14834,9079,Carrier-16
DSP-00160,Dock 9,2026-07-20 16:01:34+00:00,12,12,156,7010,6165,Carrier-12
DSP-00161,Dock 9,2026-07-21 00:51:34+00:00,12,12,74,12659,6802,Carrier-21
DSP-00162,Dock 11,2026-07-20 22:30:34+00:00,12,12,132,9833,4744,Carrier-19
DSP-00163,Dock 5,2026-07-21 00:51:34+00:00,12,12,138,14517,11480,Carrier-09
DSP-00164,Dock 7,2026-07-21 05:27:34+00:00,12,12,215,7026,3356,Carrier-09
DSP-00165,Dock 11,2026-07-21 05:22:34+00:00,12,12,149,13147,10478,Carrier-08
DSP-00166,Dock 9,2026-07-20 18:51:34+00:00,12,12,190,12703,6282,Carrier-09
DSP-00167,Dock 3,2026-07-21 01:42:34+00:00,12,12,127,16729,14424,Carrier-08
DSP-00168,Dock 9,2026-07-21 04:08:34+00:00,12,12,117,8742,4323,Carrier-22
DSP-00169,Dock 3,2026-07-21 09:00:34+00:00,12,12,115,11113,7849,Carrier-10
DSP-00170,Dock 9,2026-07-20 18:35:34+00:00,12,12,212,15656,8256,Carrier-16
DSP-00171,Dock 5,2026-07-20 11:48:34+00:00,12,12,146,16402,12817,Carrier-22
DSP-00172,Dock 3,2026-07-21 07:08:34+00:00,12,12,119,7826,3876,Carrier-03
DSP-00173,Dock 5,2026-07-21 11:39:34+00:00,12,12,109,9293,5355,Carrier-06
DSP-00174,Dock 7,2026-07-20 17:53:34+00:00,12,12,215,15969,9729,Carrier-15
DSP-00175,Dock 7,2026-07-21 09:28:34+00:00,12,12,106,14040,10733,Carrier-06
DSP-00176,Dock 7,2026-07-20 17:05:34+00:00,12,12,95,15478,11124,Carrier-03
DSP-00177,Dock 7,2026-07-21 00:07:34+00:00,12,12,205,9115,7961,Carrier-08
DSP-00178,Dock 5,2026-07-21 06:37:34+00:00,12,12,100,7127,3216,Carrier-14
DSP-00179,Dock 3,2026-07-21 10:14:34+00:00,12,12,168,13927,7243,Carrier-08
DSP-00180,Dock 9,2026-07-21 03:22:34+00:00,12,12,172,8099,4396,Carrier-20
DSP-00181,Dock 11,2026-07-21 09:04:34+00:00,12,12,203,17561,8061,Carrier-20
DSP-00182,Dock 11,2026-07-20 19:56:34+00:00,12,12,161,13024,6478,Carrier-03
DSP-00183,Dock 11,2026-07-20 12:30:34+00:00,12,12,217,7968,3815,Carrier-19
DSP-00184,Dock 5,2026-07-20 11:00:34+00:00,12,12,104,14203,12050,Carrier-04
DSP-00185,Dock 11,2026-07-21 07:26:34+00:00,12,12,162,14919,8014,Carrier-08
DSP-00186,Dock 5,2026-07-21 00:34:34+00:00,12,12,218,10257,5791,Carrier-19
DSP-00187,Dock 9,2026-07-20 20:40:34+00:00,12,12,167,9764,5492,Carrier-08
DSP-00188,Dock 3,2026-07-21 02:40:34+00:00,12,12,180,12841,8705,Carrier-09
DSP-00189,Dock 11,2026-07-21 06:06:34+00:00,12,12,87,8541,6045,Carrier-12
DSP-00190,Dock 3,2026-07-21 02:03:34+00:00,12,12,88,16068,10479,Carrier-06
DSP-00191,Dock 5,2026-07-20 23:44:34+00:00,12,12,121,12928,5986,Carrier-07
DSP-00192,Dock 5,2026-07-21 07:27:34+00:00,12,12,160,8948,6237,Carrier-17
DSP-00193,Dock 9,2026-07-21 07:01:34+00:00,12,12,172,15942,13166,Carrier-11
DSP-00194,Dock 7,2026-07-20 23:17:34+00:00,12,12,97,10999,5547,Carrier-11
DSP-00195,Dock 5,2026-07-21 00:54:34+00:00,12,12,89,13442,6646,Carrier-14
DSP-00196,Dock 5,2026-07-20 17:01:34+00:00,12,12,132,16301,10868,Carrier-07
DSP-00197,Dock 7,2026-07-20 13:11:34+00:00,12,12,153,12692,5971,Carrier-18
DSP-00198,Dock 3,2026-07-21 05:38:34+00:00,12,12,75,15095,9312,Carrier-22
DSP-00199,Dock 5,2026-07-20 12:47:34+00:00,12,12,173,7433,5456,Carrier-20
DSP-00200,Dock 5,2026-07-21 11:22:34+00:00,12,12,157,14876,11611,Carrier-13
DSP-00201,Dock 5,2026-07-20 10:44:34+00:00,12,12,217,12339,6760,Carrier-08
DSP-00202,Dock 11,2026-07-21 00:42:34+00:00,12,12,141,15634,13384,Carrier-17
DSP-00203,Dock 11,2026-07-20 11:09:34+00:00,12,12,193,15533,9061,Carrier-10
DSP-00204,Dock 11,2026-07-21 10:18:34+00:00,12,12,171,14804,7519,Carrier-05
DSP-00205,Dock 3,2026-07-21 02:02:34+00:00,12,12,73,8748,7332,Carrier-01
DSP-00206,Dock 11,2026-07-21 11:09:34+00:00,12,12,103,9977,13458,Carrier-19
DSP-00207,Dock 7,2026-07-20 20:30:34+00:00,12,12,74,7082,3516,Carrier-09
DSP-00208,Dock 11,2026-07-21 00:01:34+00:00,12,12,202,12559,7701,Carrier-22
DSP-00209,Dock 11,2026-07-21 10:18:34+00:00,12,12,208,9654,5106,Carrier-07
DSP-00210,Dock 11,2026-07-20 16:08:34+00:00,12,12,115,16512,7676,Carrier-15
DSP-00211,Dock 7,2026-07-21 00:59:34+00:00,12,12,139,11383,7495,Carrier-09
DSP-00212,Dock 5,2026-07-21 11:48:34+00:00,12,12,208,16487,9070,Carrier-01
DSP-00213,Dock 11,2026-07-20 13:42:34+00:00,12,12,148,9471,4450,Carrier-09
DSP-00214,Dock 9,2026-07-21 03:04:34+00:00,12,12,198,13656,7715,Carrier-06
DSP-00215,Dock 11,2026-07-20 12:48:34+00:00,12,12,116,13542,7351,Carrier-11
DSP-00216,Dock 11,2026-07-21 03:56:34+00:00,12,12,101,17345,11840,Carrier-01
DSP-00217,Dock 7,2026-07-21 03:37:34+00:00,12,12,181,17011,11247,Carrier-10
DSP-00218,Dock 9,2026-07-21 05:37:34+00:00,12,12,81,7332,6311,Carrier-01
DSP-00219,Dock 7,2026-07-21 11:05:34+00:00,12,12,118,15859,11233,Carrier-19
DSP-00220,Dock 9,2026-07-21 07:01:34+00:00,12,12,187,7165,6204,Carrier-08
DSP-00221,Dock 5,2026-07-20 17:48:34+00:00,12,12,109,13539,6233,Carrier-17
DSP-00222,Dock 5,2026-07-20 17:02:34+00:00,12,12,210,17382,8760,Carrier-08
DSP-00223,Dock 7,2026-07-21 06:13:34+00:00,12,12,181,16433,11364,Carrier-03
DSP-00224,Dock 7,2026-07-21 05:05:34+00:00,12,12,154,7328,6272,Carrier-17
DSP-00225,Dock 11,2026-07-21 01:52:34+00:00,12,12,195,15562,11088,Carrier-01
DSP-00226,Dock 9,2026-07-20 13:54:34+00:00,12,12,136,12722,7327,Carrier-08
DSP-00227,Dock 11,2026-07-20 18:06:34+00:00,12,12,201,15133,10857,Carrier-15
DSP-00228,Dock 11,2026-07-20 18:00:34+00:00,12,12,79,12658,9477,Carrier-13
DSP-00229,Dock 9,2026-07-20 16:44:34+00:00,12,12,197,11893,8159,Carrier-11
DSP-00230,Dock 11,2026-07-21 06:55:34+00:00,12,12,141,10284,8874,Carrier-11
DSP-00231,Dock 7,2026-07-20 10:38:34+00:00,12,12,113,15462,8040,Carrier-08
DSP-00232,Dock 7,2026-07-20 11:59:34+00:00,12,12,187,13072,7422,Carrier-16
DSP-00233,Dock 5,2026-07-21 05:05:34+00:00,12,12,181,16285,11751,Carrier-02
DSP-00234,Dock 3,2026-07-20 15:21:34+00:00,12,12,189,7077,3647,Carrier-15
DSP-00235,Dock 3,2026-07-21 04:42:34+00:00,12,12,74,11890,6845,Carrier-03
DSP-00236,Dock 7,2026-07-21 03:10:34+00:00,12,12,83,11982,7373,Carrier-12
DSP-00237,Dock 9,2026-07-21 00:33:34+00:00,12,12,204,15899,8464,Carrier-17
DSP-00238,Dock 7,2026-07-21 00:21:34+00:00,12,12,213,13724,6741,Carrier-22
DSP-00239,Dock 11,2026-07-21 12:10:34+00:00,12,12,148,13647,9866,Carrier-04
DSP-00240,Dock 3,2026-07-20 20:52:34+00:00,12,12,219,11107,5646,Carrier-16
DSP-00241,Dock 3,2026-07-20 17:17:34+00:00,12,12,169,12099,10016,Carrier-15
DSP-00242,Dock 3,2026-07-20 10:16:34+00:00,12,12,175,17284,12627,Carrier-17
DSP-00243,Dock 7,2026-07-20 14:52:34+00:00,12,12,219,17673,11478,Carrier-15
DSP-00244,Dock 5,2026-07-20 20:50:34+00:00,12,12,203,11551,5783,Carrier-10
DSP-00245,Dock 7,2026-07-21 04:06:34+00:00,12,12,190,11973,5725,Carrier-12
DSP-00246,Dock 9,2026-07-20 19:26:34+00:00,12,12,107,17842,14697,Carrier-17
DSP-00247,Dock 11,2026-07-21 11:25:34+00:00,12,12,140,13735,7026,Carrier-05
DSP-00248,Dock 5,2026-07-21 04:52:34+00:00,12,12,93,13680,10322,Carrier-15
DSP-00249,Dock 7,2026-07-21 11:31:34+00:00,12,12,154,10822,5201,Carrier-06
DSP-00250,Dock 5,2026-07-20 19:22:34+00:00,12,12,118,17197,8648,Carrier-21
DSP-00251,Dock 9,2026-07-20 22:44:34+00:00,12,12,169,16732,9746,Carrier-18
DSP-00252,Dock 9,2026-07-20 22:37:34+00:00,12,12,215,16919,14028,Carrier-06
DSP-00253,Dock 3,2026-07-20 11:36:34+00:00,12,12,205,8367,4643,Carrier-11
DSP-00254,Dock 9,2026-07-20 14:42:34+00:00,12,12,72,17154,12570,Carrier-15
DSP-00255,Dock 3,2026-07-21 03:16:34+00:00,12,12,110,13445,11720,Carrier-07
DSP-00256,Dock 7,2026-07-20 10:44:34+00:00,12,12,125,14045,12198,Carrier-18
DSP-00257,Dock 7,2026-07-21 10:44:34+00:00,12,12,114,9717,7979,Carrier-20
DSP-00258,Dock 5,2026-07-20 22:45:34+00:00,12,12,116,14414,11100,Carrier-01
DSP-00259,Dock 3,2026-07-21 01:49:34+00:00,12,12,203,16533,12902,Carrier-19
DSP-00260,Dock 3,2026-07-21 00:28:34+00:00,12,12,131,16159,12702,Carrier-09
DSP-00261,Dock 11,2026-07-20 20:18:34+00:00,12,12,135,10395,7461,Carrier-14
DSP-00262,Dock 5,2026-07-20 09:42:34+00:00,12,12,117,12289,8018,Carrier-21
DSP-00263,Dock 9,2026-07-21 03:56:34+00:00,12,12,136,15649,13577,Carrier-03
DSP-00264,Dock 7,2026-07-21 03:13:34+00:00,12,12,109,10424,8962,Carrier-01
DSP-00265,Dock 5,2026-07-20 23:53:34+00:00,12,12,104,14759,8577,Carrier-01
DSP-00266,Dock 11,2026-07-21 04:55:34+00:00,12,12,97,10471,5687,Carrier-12
DSP-00267,Dock 5,2026-07-21 11:03:34+00:00,12,12,80,10715,6776,Carrier-20
DSP-00268,Dock 5,2026-07-21 01:03:34+00:00,12,12,147,9409,5322,Carrier-14
DSP-00269,Dock 7,2026-07-20 14:41:34+00:00,12,12,83,16844,11070,Carrier-21
DSP-00270,Dock 5,2026-07-20 18:41:34+00:00,12,12,188,7470,5436,Carrier-13
DSP-00271,Dock 5,2026-07-21 06:22:34+00:00,12,12,207,12382,9442,Carrier-06
DSP-00272,Dock 5,2026-07-20 17:57:34+00:00,12,12,206,8415,7348,Carrier-06
DSP-00273,Dock 7,2026-07-21 11:29:34+00:00,12,12,104,9373,6250,Carrier-13
DSP-00274,Dock 3,2026-07-21 08:58:34+00:00,12,12,207,9052,4237,Carrier-18
DSP-00275,Dock 5,2026-07-21 11:53:34+00:00,12,12,171,14990,8264,Carrier-14
DSP-00276,Dock 5,2026-07-20 13:41:34+00:00,12,12,123,13210,10724,Carrier-21
DSP-00277,Dock 11,2026-07-20 16:36:34+00:00,12,12,129,9019,5777,Carrier-10
DSP-00278,Dock 11,2026-07-20 22:55:34+00:00,12,12,159,15650,12883,Carrier-03
DSP-00279,Dock 5,2026-07-20 12:38:34+00:00,12,12,199,8051,4331,Carrier-05
DSP-00280,Dock 5,2026-07-20 19:20:34+00:00,12,12,185,12186,7476,Carrier-18
DSP-00281,Dock 11,2026-07-20 17:23:34+00:00,12,12,117,11728,7814,Carrier-09
DSP-00282,Dock 11,2026-07-20 15:31:34+00:00,12,12,166,9763,4962,Carrier-20
DSP-00283,Dock 11,2026-07-20 16:19:34+00:00,12,12,137,7163,5669,Carrier-09
