id,customer,sku,ordered_qty,picked_qty,shipped_qty,promised_at,warehouse,pick_status,priority
ORD-000119,Plant-04,PO-7556-962,38,4,0,2026-07-22T10:00:52+00:00,WH-01,in_progress,9
ORD-000120,Plant-08,FL-4147-1271,68,55,0,2026-07-21T03:00:52+00:00,WH-02,pending,9
ORD-000121,Plant-41,EL-2339-2766,53,27,0,2026-07-24T21:00:52+00:00,WH-01,pending,8
ORD-000122,Plant-19,FL-5341-3712,63,43,0,2026-07-25T17:00:52+00:00,WH-02,completed,6
ORD-000123,Plant-44,IN-6330-2147,71,63,0,2026-07-22T03:00:52+00:00,WH-01,pending,10
ORD-000124,Plant-11,IN-8318-1138,135,12,0,2026-07-23T10:00:52+00:00,WH-01,completed,5
ORD-000125,Plant-17,EL-7811-1958,127,8,0,2026-07-20T16:00:52+00:00,WH-01,pending,5
ORD-000126,Plant-32,PO-6204-2965,15,10,0,2026-07-20T22:00:52+00:00,WH-02,completed,7
ORD-000127,Plant-40,CH-7341-427,116,82,0,2026-07-23T01:00:52+00:00,WH-02,completed,8
ORD-000128,Plant-33,FL-8786-4141,16,13,0,2026-07-20T03:00:52+00:00,WH-02,completed,1
ORD-000129,Plant-34,IN-8191-4336,134,66,0,2026-07-25T23:00:52+00:00,WH-02,completed,3
ORD-000130,Plant-28,CH-4402-3056,4,0,0,2026-07-22T11:00:52+00:00,WH-02,completed,2
ORD-000131,Plant-12,FL-2753-3253,57,4,0,2026-07-24T20:00:52+00:00,WH-02,pending,6
ORD-000132,Plant-30,FL-2373-3860,18,7,0,2026-07-20T14:00:52+00:00,WH-02,in_progress,6
ORD-000133,Plant-02,EL-3003-1850,111,3,0,2026-07-21T12:00:52+00:00,WH-02,in_progress,5
ORD-000134,Plant-33,CH-9396-1542,137,122,0,2026-07-25T10:00:52+00:00,WH-01,completed,4
ORD-000135,Plant-26,CH-8118-973,27,2,0,2026-07-26T10:00:52+00:00,WH-01,completed,9
ORD-000136,Plant-35,EL-2664-132,137,23,0,2026-07-23T20:00:52+00:00,WH-02,completed,2
ORD-000137,Plant-41,FL-5650-3450,34,2,0,2026-07-22T23:00:52+00:00,WH-02,in_progress,4
ORD-000138,Plant-29,EL-2954-1334,32,3,0,2026-07-25T19:00:52+00:00,WH-02,pending,1
ORD-000139,Plant-42,EL-3338-3766,79,17,0,2026-07-26T01:00:52+00:00,WH-01,in_progress,3
ORD-000140,Plant-01,CH-4866-1926,106,22,0,2026-07-20T22:00:52+00:00,WH-02,completed,5
ORD-000141,Plant-08,PO-2097-4544,93,16,0,2026-07-25T05:00:52+00:00,WH-01,completed,9
ORD-000142,Plant-43,EL-2803-4996,31,22,0,2026-07-23T01:00:52+00:00,WH-02,in_progress,5
ORD-000143,Plant-38,PO-6423-858,79,6,0,2026-07-23T22:00:52+00:00,WH-01,in_progress,1
ORD-000144,Plant-21,IN-1086-4250,4,1,0,2026-07-22T00:00:52+00:00,WH-02,in_progress,9
ORD-000145,Plant-09,EL-3112-2221,150,90,0,2026-07-20T09:00:52+00:00,WH-02,pending,6
ORD-000146,Plant-23,PO-3709-4419,139,35,0,2026-07-19T19:00:52+00:00,WH-02,pending,10
ORD-000147,Plant-45,PO-2709-3840,24,3,0,2026-07-23T11:00:52+00:00,WH-02,completed,6
ORD-000148,Plant-35,FL-6676-2574,50,16,0,2026-07-20T04:00:52+00:00,WH-01,pending,3
ORD-000149,Plant-23,IN-7470-2765,57,8,0,2026-07-26T12:00:52+00:00,WH-02,pending,5
ORD-000150,Plant-05,EL-1279-2378,96,69,0,2026-07-21T05:00:52+00:00,WH-01,in_progress,8
ORD-000151,Plant-01,IN-5517-4505,98,1,0,2026-07-20T06:00:52+00:00,WH-02,in_progress,5
ORD-000152,Plant-22,CH-1839-1716,67,65,0,2026-07-24T05:00:52+00:00,WH-01,pending,7
ORD-000153,Plant-05,PO-1891-4685,102,43,0,2026-07-25T12:00:52+00:00,WH-01,completed,9
ORD-000154,Plant-44,CH-7654-3633,109,92,0,2026-07-25T17:00:52+00:00,WH-02,in_progress,8
ORD-000155,Plant-07,EL-5596-4179,96,18,0,2026-07-21T02:00:52+00:00,WH-02,completed,5
ORD-000156,Plant-03,PO-1923-2801,47,18,0,2026-07-23T01:00:52+00:00,WH-02,in_progress,9
ORD-000157,Plant-36,FL-2095-1762,51,26,0,2026-07-26T13:00:52+00:00,WH-01,in_progress,1
ORD-000158,Plant-20,PO-3108-1380,64,58,0,2026-07-22T17:00:52+00:00,WH-02,in_progress,5
ORD-000159,Plant-21,EL-1674-2982,32,14,0,2026-07-23T14:00:52+00:00,WH-01,completed,2
ORD-000160,Plant-48,EL-6914-308,98,4,0,2026-07-23T22:00:52+00:00,WH-02,pending,8
ORD-000161,Plant-45,EL-8258-1667,114,24,0,2026-07-21T09:00:52+00:00,WH-01,completed,6
ORD-000162,Plant-03,EL-7554-4156,121,11,0,2026-07-25T04:00:52+00:00,WH-02,in_progress,2
ORD-000163,Plant-09,EL-1876-2451,78,49,0,2026-07-23T12:00:52+00:00,WH-02,pending,10
ORD-000164,Plant-21,FL-4729-2483,124,111,0,2026-07-24T11:00:52+00:00,WH-01,completed,2
ORD-000165,Plant-01,PO-7392-2371,34,16,0,2026-07-25T16:00:52+00:00,WH-02,completed,1
ORD-000166,Plant-15,EL-6935-718,127,89,0,2026-07-25T07:00:52+00:00,WH-01,pending,7
ORD-000167,Plant-29,PO-3323-470,98,25,0,2026-07-21T00:00:52+00:00,WH-01,in_progress,10
ORD-000168,Plant-35,IN-2537-3094,53,41,0,2026-07-23T09:00:52+00:00,WH-02,completed,10
ORD-000169,Plant-43,CH-1651-4968,132,121,0,2026-07-21T12:00:52+00:00,WH-01,pending,8
ORD-000170,Plant-15,EL-3711-627,68,32,0,2026-07-25T15:00:52+00:00,WH-01,pending,9
ORD-000171,Plant-38,PO-9129-3271,30,4,0,2026-07-23T17:00:52+00:00,WH-02,in_progress,2
ORD-000172,Plant-15,FL-4271-781,35,17,0,2026-07-24T00:00:52+00:00,WH-02,completed,2
ORD-000173,Plant-29,PO-7727-3609,73,58,0,2026-07-20T16:00:52+00:00,WH-01,completed,2
ORD-000174,Plant-05,IN-4452-4319,38,3,0,2026-07-19T19:00:52+00:00,WH-01,in_progress,7
ORD-000175,Plant-23,EL-1811-766,119,46,0,2026-07-24T17:00:52+00:00,WH-02,pending,5
ORD-000176,Plant-28,FL-5264-3770,133,63,0,2026-07-20T12:00:52+00:00,WH-02,completed,6
ORD-000177,Plant-34,FL-1081-4617,119,16,0,2026-07-24T00:00:52+00:00,WH-02,completed,9
ORD-000178,Plant-40,IN-3855-1609,113,106,0,2026-07-25T06:00:52+00:00,WH-01,in_progress,9
ORD-000179,Plant-04,EL-7151-4651,14,5,0,2026-07-25T16:00:52+00:00,WH-01,pending,6
ORD-000180,Plant-47,PO-7241-490,144,124,0,2026-07-22T22:00:52+00:00,WH-01,in_progress,5
ORD-000181,Plant-09,CH-9201-2487,18,0,0,2026-07-22T11:00:52+00:00,WH-02,in_progress,1
ORD-000182,Plant-17,PO-5049-1269,32,24,0,2026-07-26T09:00:52+00:00,WH-02,completed,1
ORD-000183,Plant-24,IN-4610-229,23,13,0,2026-07-23T16:00:52+00:00,WH-02,completed,3
ORD-000184,Plant-32,EL-2804-4327,91,40,0,2026-07-22T15:00:52+00:00,WH-01,in_progress,9
ORD-000185,Plant-26,PO-7622-1353,57,40,0,2026-07-26T00:00:52+00:00,WH-01,pending,9
ORD-000186,Plant-35,EL-9264-1970,70,58,0,2026-07-22T11:00:52+00:00,WH-01,in_progress,6
ORD-000187,Plant-15,PO-7768-2923,29,16,0,2026-07-24T16:00:52+00:00,WH-02,completed,5
ORD-000188,Plant-02,CH-7224-1688,88,46,0,2026-07-19T19:00:52+00:00,WH-02,pending,4
ORD-000189,Plant-27,EL-5335-3803,142,96,0,2026-07-22T16:00:52+00:00,WH-01,pending,5
ORD-000190,Plant-13,FL-6322-187,54,10,0,2026-07-24T20:00:52+00:00,WH-02,in_progress,6
ORD-000191,Plant-26,CH-7534-1152,146,20,0,2026-07-21T17:00:52+00:00,WH-02,in_progress,2
ORD-000192,Plant-27,IN-5702-404,90,77,0,2026-07-22T03:00:52+00:00,WH-01,in_progress,4
ORD-000193,Plant-10,IN-2988-4033,39,0,0,2026-07-23T16:00:52+00:00,WH-01,in_progress,5
ORD-000194,Plant-06,FL-8254-2375,41,7,0,2026-07-23T13:00:52+00:00,WH-01,completed,1
ORD-000195,Plant-08,IN-7823-054,71,68,0,2026-07-20T10:00:52+00:00,WH-01,pending,6
ORD-000196,Plant-04,CH-6616-1681,39,23,0,2026-07-21T10:00:52+00:00,WH-02,in_progress,3
ORD-000197,Plant-28,PO-3423-2678,38,5,0,2026-07-19T20:00:52+00:00,WH-02,pending,4
ORD-000198,Plant-47,EL-7737-2262,33,29,0,2026-07-22T07:00:52+00:00,WH-01,in_progress,5
ORD-000199,Plant-14,PO-6665-2960,5,3,0,2026-07-20T17:00:52+00:00,WH-01,in_progress,5
ORD-000200,Plant-12,PO-1640-2420,119,105,0,2026-07-23T13:00:52+00:00,WH-01,pending,9
ORD-000201,Plant-03,CH-5403-1249,16,15,0,2026-07-23T06:00:52+00:00,WH-01,completed,3
ORD-000202,Plant-37,PO-1993-806,94,64,0,2026-07-20T04:00:52+00:00,WH-01,pending,3
ORD-000203,Plant-12,EL-5601-228,69,0,0,2026-07-26T02:00:52+00:00,WH-01,completed,5
ORD-000204,Plant-04,PO-4099-2505,19,18,0,2026-07-24T22:00:52+00:00,WH-02,pending,1
ORD-000205,Plant-38,PO-5296-140,34,10,0,2026-07-22T16:00:52+00:00,WH-01,completed,4
ORD-000206,Plant-18,EL-6371-071,79,69,0,2026-07-24T10:00:52+00:00,WH-01,in_progress,6
ORD-000207,Plant-46,PO-1891-4685,27,10,0,2026-07-23T15:00:52+00:00,WH-01,completed,3
ORD-000208,Plant-01,PO-8505-2914,48,10,0,2026-07-22T21:00:52+00:00,WH-01,pending,10
ORD-000209,Plant-23,EL-8780-074,13,9,0,2026-07-24T21:00:52+00:00,WH-01,pending,3
ORD-000210,Plant-21,FL-6649-1879,27,16,0,2026-07-23T09:00:52+00:00,WH-01,in_progress,6
ORD-000211,Plant-20,PO-5388-2439,131,0,0,2026-07-20T08:00:52+00:00,WH-02,in_progress,6
ORD-000212,Plant-30,EL-1290-592,82,53,0,2026-07-25T16:00:52+00:00,WH-01,pending,6
ORD-000213,Plant-20,EL-1940-1305,139,43,0,2026-07-20T13:00:52+00:00,WH-02,completed,6
ORD-000214,Plant-18,CH-6951-667,114,58,0,2026-07-21T14:00:52+00:00,WH-02,pending,2
ORD-000215,Plant-23,CH-7224-1688,11,7,0,2026-07-25T16:00:52+00:00,WH-02,in_progress,4
ORD-000216,Plant-31,FL-2949-4794,124,47,0,2026-07-24T19:00:52+00:00,WH-01,in_progress,9
ORD-000217,Plant-27,IN-7021-2848,19,3,0,2026-07-24T20:00:52+00:00,WH-02,completed,4
ORD-000218,Plant-34,IN-8659-512,121,50,0,2026-07-25T17:00:52+00:00,WH-01,pending,7
ORD-000219,Plant-19,FL-8889-1204,43,33,0,2026-07-22T06:00:52+00:00,WH-02,completed,4
ORD-000220,Plant-21,CH-9567-3816,98,93,0,2026-07-20T22:00:52+00:00,WH-01,in_progress,8
ORD-000221,Plant-39,EL-3513-2734,104,3,0,2026-07-21T17:00:52+00:00,WH-01,in_progress,5
ORD-000222,Plant-01,IN-4573-3168,63,14,0,2026-07-21T00:00:52+00:00,WH-02,pending,9
ORD-000223,Plant-12,FL-9628-2476,69,39,0,2026-07-19T22:00:52+00:00,WH-01,in_progress,3
ORD-000224,Plant-22,IN-8896-2948,20,16,0,2026-07-22T18:00:52+00:00,WH-02,completed,5
ORD-000225,Plant-32,FL-6022-522,150,75,0,2026-07-21T06:00:52+00:00,WH-01,in_progress,9
ORD-000226,Plant-45,FL-9717-263,70,14,0,2026-07-26T09:00:52+00:00,WH-02,in_progress,5
ORD-000227,Plant-30,IN-1457-2433,119,77,0,2026-07-26T02:00:52+00:00,WH-01,in_progress,2
ORD-000228,Plant-33,PO-9468-4734,141,73,0,2026-07-20T08:00:52+00:00,WH-01,pending,4
ORD-000229,Plant-36,CH-3451-1644,47,45,0,2026-07-23T10:00:52+00:00,WH-02,completed,3
ORD-000230,Plant-33,EL-8020-3005,87,17,0,2026-07-25T18:00:52+00:00,WH-02,completed,8
ORD-000231,Plant-34,FL-1041-1241,73,51,0,2026-07-20T00:00:52+00:00,WH-02,in_progress,1
ORD-000232,Plant-38,IN-1719-4747,123,80,0,2026-07-21T05:00:52+00:00,WH-01,in_progress,10
ORD-000233,Plant-40,FL-7129-4612,27,18,0,2026-07-25T14:00:52+00:00,WH-01,pending,8
ORD-000234,Plant-21,EL-8944-2049,33,29,0,2026-07-21T21:00:52+00:00,WH-01,in_progress,8
ORD-000235,Plant-24,CH-6697-4860,93,30,0,2026-07-19T18:00:52+00:00,WH-01,pending,9
ORD-000236,Plant-18,IN-8799-4409,95,40,0,2026-07-25T02:00:52+00:00,WH-02,in_progress,1
ORD-000237,Plant-39,FL-6253-3351,69,18,0,2026-07-22T19:00:52+00:00,WH-02,completed,8
ORD-000238,Plant-35,FL-3555-2851,106,22,0,2026-07-20T13:00:52+00:00,WH-02,completed,8
ORD-000239,Plant-23,IN-2681-2400,88,44,0,2026-07-20T14:00:52+00:00,WH-01,in_progress,5
ORD-000240,Plant-15,EL-4112-1763,145,126,0,2026-07-20T06:00:52+00:00,WH-02,in_progress,3
ORD-000241,Plant-27,EL-8969-3414,63,50,0,2026-07-24T20:00:52+00:00,WH-01,pending,4
ORD-000242,Plant-19,EL-9607-1717,69,23,0,2026-07-26T18:00:52+00:00,WH-01,in_progress,5
ORD-000243,Plant-32,FL-1128-4247,9,5,0,2026-07-21T19:00:52+00:00,WH-02,in_progress,2
ORD-000244,Plant-21,PO-4696-4052,120,91,0,2026-07-23T03:00:52+00:00,WH-01,pending,6
ORD-000245,Plant-41,IN-4925-853,81,76,0,2026-07-20T01:00:52+00:00,WH-02,completed,9
ORD-000246,Plant-29,CH-6170-924,83,62,0,2026-07-26T18:00:52+00:00,WH-02,pending,3
ORD-000247,Plant-02,IN-5573-906,120,39,0,2026-07-20T03:00:52+00:00,WH-02,pending,9
ORD-000248,Plant-21,IN-7266-2602,47,45,0,2026-07-25T05:00:52+00:00,WH-02,completed,4
ORD-000249,Plant-43,CH-7355-3373,72,62,0,2026-07-21T01:00:52+00:00,WH-02,in_progress,2
ORD-000250,Plant-38,PO-2456-646,119,78,0,2026-07-20T10:00:52+00:00,WH-01,pending,7
