"vwgl_matstorloc_id","vwgl_matstorloc_valid_from","__operation_type","__timestamp","material","plant","storagelocation","maintenancestatus","deletionflag","fiscalyearofcurrentperiod","currentperiod","physicalinventoryblockingind","freeavailablestock","baseunit","stockintransfer","stockinqualityinspection","totalstockofallrestrbatches","blockedstock","blockedstockreturns","valunrestusestockprevper","stockintransferprevper","stockinqualityinsprevper","restrictedusestockprevper","blockedstockprevper","blockedstockreturnsprevper","dateoflastpostedcount","creationdate","instance","i_product","i_storagelocation","etl_aend_tstamp"
"0DD300047P|1400|F759","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047P","1400","F759","DL","","2025","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240614","Kassel","0DD300047P","F759","2026-07-17 06:05:41.813636 UTC"
"0DD311159C    DRA|1400|FAM1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD311159C    DRA","1400","FAM1","DL","","2024","09","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240916","Kassel","0DD311159C    DRA","FAM1","2026-07-17 06:05:41.813636 UTC"
"0DD300040E|1400|S6M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040E","1400","S6M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300040E","S6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046G|1400|S6M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046G","1400","S6M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046G","S6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046L|1400|W0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046L","1400","W0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046L","W0M6","2026-07-17 06:05:41.813636 UTC"
"0DD300046P|1400|F6M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046P","1400","F6M1","DL","","2024","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046P","F6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047F|1400|XNM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300047F","1400","XNM1","DL","","2024","08","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240820","Kassel","0DD300047F","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046G|1400|XNM3","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046G","1400","XNM3","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046G","XNM3","2026-07-17 06:05:41.813636 UTC"
"0DD300046P|1400|F759","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046P","1400","F759","DL","","2026","06","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240508","Kassel","0DD300046P","F759","2026-07-17 06:05:41.813636 UTC"
"0DD300046T|1400|XDM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046T","1400","XDM1","DL","","2023","11","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300046T","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD300048A|1400|XNM3","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300048A","1400","XNM3","DL","","2025","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250314","Kassel","0DD300048A","XNM3","2026-07-17 06:05:41.813636 UTC"
"0DD311159B       0200|1400|S0M6","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD311159B       0200","1400","S0M6","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240404","Kassel","0DD311159B       0200","S0M6","2026-07-17 06:05:41.813636 UTC"
"0DD311159B|1400|D0M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B","1400","D0M1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD311159B","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046H|1400|F759","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046H","1400","F759","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240508","Kassel","0DD300046H","F759","2026-07-17 06:05:41.813636 UTC"
"0DD300046J|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046J","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046J","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046K|1400|XNTS","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046K","1400","XNTS","DL","","2025","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250404","Kassel","0DD300046K","XNTS","2026-07-17 06:05:41.813636 UTC"
"0DD300047F|1400|D0M1","2026-07-17 02:17:12.966977 UTC","L","2026-07-17 02:17:12.966977 UTC","0DD300047F","1400","D0M1","DL","","2026","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240820","Kassel","0DD300047F","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047M|1400|F759","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300047M","1400","F759","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240614","Kassel","0DD300047M","F759","2026-07-17 06:05:41.813636 UTC"
"0DD311158D|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311158D","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311158D","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159C    DRA|1400|FAM3","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD311159C    DRA","1400","FAM3","DL","","2025","05","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250508","Kassel","0DD311159C    DRA","FAM3","2026-07-17 06:05:41.813636 UTC"
"0DD300040E|1400|S1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040E","1400","S1M1","DL","","2025","07","","21","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300040E","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046T|1400|S1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046T","1400","S1M1","DL","","2026","07","","8","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046T","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046T|1400|W0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046T","1400","W0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046T","W0M6","2026-07-17 06:05:41.813636 UTC"
"0DD300047R|1400|XNM1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047R","1400","XNM1","DL","","2024","05","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240515","Kassel","0DD300047R","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD311158B|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311158B","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311158B","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD311158B|1400|S0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311158B","1400","S0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311158B","S0M6","2026-07-17 06:05:41.813636 UTC"
"0DD311159B    DRA|1400|XDM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B    DRA","1400","XDM1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD311159B    DRA","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159B ANG|1400|XNM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B ANG","1400","XNM1","DL","","2026","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221103","Kassel","0DD311159B ANG","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159C    DRA|1400|F4M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159C    DRA","1400","F4M1","DL","","2022","11","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221116","Kassel","0DD311159C    DRA","F4M1","2026-07-17 06:05:41.813636 UTC"
"0DD300040C|1400|XNM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040C","1400","XNM1","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300040C","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046C|1400|F759","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046C","1400","F759","DL","","2025","12","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240801","Kassel","0DD300046C","F759","2026-07-17 06:05:41.813636 UTC"
"0DD300046E|1400|XNM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046E","1400","XNM1","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300046E","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046G|1400|F1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046G","1400","F1M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046G","F1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047A|1400|XZM1","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300047A","1400","XZM1","DL","","2022","12","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221219","Kassel","0DD300047A","XZM1","2026-07-17 06:05:41.813636 UTC"
"0DD300047G|1400|XN12","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300047G","1400","XN12","DL","","2025","06","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240430","Kassel","0DD300047G","XN12","2026-07-17 06:05:41.813636 UTC"
"0DD300047H|1400|S1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300047H","1400","S1M1","DL","","2024","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20231117","Kassel","0DD300047H","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047K|1400|XNM2","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047K","1400","XNM2","DL","","2024","01","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240103","Kassel","0DD300047K","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD300048C|1400|XNM3","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300048C","1400","XNM3","DL","","2025","03","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250314","Kassel","0DD300048C","XNM3","2026-07-17 06:05:41.813636 UTC"
"0DD300048E|1400|S1M1","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300048E","1400","S1M1","DL","","2026","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250917","Kassel","0DD300048E","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD311159B    DRA|1400|S0M3","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B    DRA","1400","S0M3","DL","","2022","12","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221221","Kassel","0DD311159B    DRA","S0M3","2026-07-17 06:05:41.813636 UTC"
"0DD311159B|1400|XNM2","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B","1400","XNM2","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD311159B","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD311159C|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159C","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311159C","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046S|1400|XN12","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046S","1400","XN12","DL","","2026","07","","10","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240430","Kassel","0DD300046S","XN12","2026-07-17 06:05:41.813636 UTC"
"0DD300047K|1400|XZM1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047K","1400","XZM1","DL","","2024","01","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240103","Kassel","0DD300047K","XZM1","2026-07-17 06:05:41.813636 UTC"
"0DD300047L|1400|F6M1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047L","1400","F6M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240109","Kassel","0DD300047L","F6M1","2026-07-17 06:05:41.813636 UTC"
"0DD311158B|1400|XDM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311158B","1400","XDM1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD311158B","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159B|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311159B","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159C    DRA|1400|XDM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159C    DRA","1400","XDM1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD311159C    DRA","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046J|1400|S0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046J","1400","S0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046J","S0M6","2026-07-17 06:05:41.813636 UTC"
"0DD300046J|1400|XN12","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046J","1400","XN12","DL","","2026","07","","5","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240430","Kassel","0DD300046J","XN12","2026-07-17 06:05:41.813636 UTC"
"0DD300047R|1400|XNM2","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047R","1400","XNM2","DL","","2024","05","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240515","Kassel","0DD300047R","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD300047T|1400|S6M1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047T","1400","S6M1","DL","","2024","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240710","Kassel","0DD300047T","S6M1","2026-07-17 06:05:41.813636 UTC"
