id,name,configured_lead,actual_lead,reliability
SUP-042,Kern Systems 042,3,4.0,0.95
SUP-043,Motive Components 043,3,3.7,0.93
SUP-044,Hansa Components 044,3,3.9,0.89
SUP-045,Kern Components 045,4,5.2,0.93
SUP-046,Hansa Components 046,3,3.5,0.89
SUP-047,Alpine Components 047,4,6.7,0.87
SUP-048,Motive Systems 048,4,4.2,0.92
SUP-049,Alpine Systems 049,4,6.6,0.88
SUP-050,Hansa Components 050,5,3.6,0.91
SUP-051,Hansa Automotive 051,6,4.9,0.84
SUP-052,Prisma Automotive 052,6,6.4,0.96
SUP-053,Alpine Mobility 053,7,3.6,0.98
SUP-054,Kern Mobility 054,4,4.3,0.96
SUP-055,Alpine Components 055,6,4.9,0.9
SUP-056,Motive Components 056,4,4.4,0.95
SUP-057,Hansa Components 057,4,5.5,0.89
SUP-058,Alpine Systems 058,3,4.5,0.86
SUP-059,Motive Systems 059,5,5.0,0.91
SUP-060,Kern Components 060,3,3.3,0.89
SUP-061,Alpine Mobility 061,3,5.6,0.97
SUP-062,Hansa Components 062,4,4.9,0.95
SUP-063,Prisma Systems 063,4,6.1,0.94
SUP-064,Motive Mobility 064,5,4.4,0.92
SUP-065,Prisma Automotive 065,4,6.0,0.86
SUP-066,Hansa Mobility 066,5,3.5,0.96
SUP-067,Motive Components 067,4,5.0,0.94
SUP-068,Kern Mobility 068,3,6.9,0.98
SUP-069,Motive Mobility 069,7,5.8,0.86
SUP-070,Motive Systems 070,3,3.5,0.97
SUP-071,Hansa Mobility 071,4,3.1,0.94
SUP-072,Kern Mobility 072,3,4.8,0.95
SUP-073,Motive Mobility 073,7,3.2,0.86
SUP-074,Prisma Systems 074,4,4.2,0.92
SUP-075,Motive Systems 075,5,6.3,0.86
SUP-076,Motive Mobility 076,7,4.9,0.85
SUP-077,Hansa Mobility 077,3,6.0,0.98
SUP-078,Hansa Components 078,7,5.7,0.93
SUP-079,Hansa Automotive 079,7,5.1,0.85
SUP-080,Alpine Systems 080,5,5.1,0.91
SUP-081,Prisma Mobility 081,5,3.4,0.97
SUP-082,Prisma Systems 082,3,7.0,0.96
SUP-083,Alpine Mobility 083,6,3.3,0.9
SUP-084,Kern Mobility 084,6,4.8,0.96
SUP-085,Hansa Systems 085,4,6.6,0.91
SUP-086,Prisma Mobility 086,7,4.9,0.91
SUP-087,Motive Automotive 087,4,4.0,0.97
SUP-088,Hansa Mobility 088,7,5.3,0.94
SUP-089,Hansa Components 089,5,6.9,0.86
SUP-090,Prisma Mobility 090,4,3.5,0.93
SUP-091,Prisma Systems 091,6,4.6,0.86
SUP-092,Motive Mobility 092,5,3.6,0.95
SUP-093,Prisma Systems 093,7,7.2,0.88
SUP-094,Kern Systems 094,5,6.0,0.96
SUP-095,Hansa Systems 095,7,4.6,0.98
SUP-096,Hansa Automotive 096,5,6.7,0.95
SUP-097,Kern Automotive 097,4,4.9,0.88
SUP-098,Prisma Components 098,7,4.9,0.91
SUP-099,Alpine Mobility 099,4,3.6,0.88
SUP-100,Motive Components 100,5,6.3,0.86
SUP-101,Alpine Mobility 101,7,4.3,0.88
SUP-102,Prisma Mobility 102,6,7.1,0.92
SUP-103,Kern Automotive 103,4,3.1,0.9
SUP-104,Motive Automotive 104,4,7.2,0.91
SUP-105,Hansa Systems 105,7,5.2,0.93
SUP-106,Prisma Mobility 106,6,3.5,0.92
SUP-107,Hansa Automotive 107,4,4.8,0.85
SUP-108,Kern Mobility 108,3,6.1,0.88
SUP-109,Alpine Mobility 109,5,9.0,0.91
SUP-110,Hansa Automotive 110,7,6.7,0.87
SUP-111,Kern Mobility 111,6,6.5,0.88
SUP-112,Motive Mobility 112,7,6.3,0.96
SUP-113,Alpine Systems 113,3,6.4,0.95
SUP-114,Alpine Automotive 114,5,6.4,0.94
SUP-115,Alpine Automotive 115,3,3.5,0.93
SUP-116,Motive Systems 116,6,6.7,0.85
SUP-117,Prisma Components 117,3,5.0,0.93
SUP-118,Kern Systems 118,5,6.0,0.98
SUP-119,Hansa Automotive 119,5,6.9,0.93
SUP-120,Prisma Automotive 120,6,6.6,0.92
SUP-121,Hansa Automotive 121,7,7.2,0.87
SUP-122,Kern Systems 122,3,3.8,0.89
SUP-123,Hansa Systems 123,6,3.9,0.88
SUP-124,Prisma Components 124,4,4.5,0.94
SUP-125,Hansa Systems 125,6,3.7,0.89
SUP-126,Prisma Automotive 126,4,4.2,0.89
SUP-127,Prisma Systems 127,6,3.8,0.97
SUP-128,Alpine Systems 128,3,6.3,0.96
SUP-129,Motive Automotive 129,4,7.2,0.93
SUP-130,Motive Components 130,4,4.8,0.89
SUP-131,Kern Components 131,3,6.9,0.97
SUP-132,Alpine Mobility 132,6,5.2,0.96
SUP-133,Alpine Systems 133,6,6.5,0.97
SUP-134,Motive Components 134,4,4.3,0.84
SUP-135,Motive Components 135,7,3.6,0.9
SUP-136,Motive Systems 136,5,5.1,0.98
SUP-137,Motive Components 137,4,5.7,0.93
SUP-138,Motive Systems 138,7,3.5,0.92
SUP-139,Motive Components 139,5,5.4,0.87
SUP-140,Motive Automotive 140,4,4.1,0.95
SUP-141,Kern Mobility 141,3,5.5,0.96
SUP-142,Prisma Mobility 142,3,6.8,0.86
SUP-143,Prisma Mobility 143,4,5.0,0.88
SUP-144,Hansa Mobility 144,6,7.2,0.95
SUP-145,Kern Mobility 145,6,7.1,0.97
SUP-146,Motive Systems 146,5,5.1,0.91
SUP-147,Prisma Automotive 147,5,6.1,0.85
SUP-148,Alpine Automotive 148,4,6.9,0.87
SUP-149,Hansa Systems 149,5,3.3,0.9
SUP-150,Kern Systems 150,6,3.7,0.97
SUP-151,Alpine Automotive 151,4,5.9,0.84
SUP-152,Hansa Systems 152,4,4.3,0.96
SUP-153,Kern Components 153,3,7.1,0.92
SUP-154,Kern Components 154,4,6.7,0.86
SUP-155,Prisma Systems 155,5,5.5,0.97
SUP-156,Motive Mobility 156,7,6.9,0.97
SUP-157,Hansa Components 157,5,5.0,0.84
SUP-158,Prisma Automotive 158,4,5.5,0.97
SUP-159,Hansa Systems 159,5,4.4,0.93
SUP-160,Hansa Systems 160,3,5.9,0.95
SUP-161,Prisma Mobility 161,7,3.3,0.91
SUP-162,Motive Automotive 162,5,3.9,0.95
SUP-163,Motive Mobility 163,5,4.6,0.88
SUP-164,Alpine Automotive 164,5,5.5,0.93
SUP-165,Hansa Components 165,3,7.1,0.91
SUP-166,Hansa Automotive 166,4,4.1,0.97
SUP-167,Kern Mobility 167,3,5.8,0.88
SUP-168,Hansa Systems 168,3,6.4,0.87
SUP-169,Motive Systems 169,6,6.6,0.93
SUP-170,Alpine Mobility 170,5,3.4,0.87
SUP-171,Kern Automotive 171,6,4.0,0.84
SUP-172,Hansa Mobility 172,5,6.4,0.87
SUP-173,Prisma Mobility 173,7,6.1,0.97
SUP-174,Motive Systems 174,7,5.4,0.93
SUP-175,Hansa Components 175,4,3.2,0.86
SUP-176,Kern Components 176,3,5.7,0.94
SUP-177,Hansa Systems 177,3,4.3,0.93
SUP-178,Kern Automotive 178,4,4.0,0.98
SUP-179,Alpine Systems 179,3,6.6,0.85
SUP-180,Prisma Automotive 180,3,6.5,0.87
SUP-181,Prisma Components 181,6,3.5,0.92
SUP-182,Hansa Automotive 182,4,5.6,0.9
SUP-183,Alpine Automotive 183,5,4.7,0.84
SUP-184,Kern Components 184,3,5.5,0.95
SUP-185,Motive Automotive 185,7,6.7,0.9
SUP-186,Motive Mobility 186,3,4.7,0.94
SUP-187,Prisma Systems 187,6,4.0,0.94
SUP-188,Alpine Systems 188,3,6.4,0.97
SUP-189,Kern Components 189,6,4.9,0.93
SUP-190,Prisma Components 190,4,4.8,0.9
SUP-191,Alpine Mobility 191,7,6.0,0.97
SUP-192,Motive Systems 192,7,4.9,0.88
SUP-193,Prisma Mobility 193,6,6.9,0.97
SUP-194,Prisma Components 194,5,4.4,0.94
SUP-195,Motive Mobility 195,7,4.7,0.84
SUP-196,Prisma Systems 196,5,3.9,0.92
SUP-197,Kern Components 197,6,5.1,0.88
SUP-198,Motive Automotive 198,7,7.3,0.84
SUP-199,Motive Components 199,5,5.2,0.87
SUP-200,Hansa Systems 200,5,7.2,0.86
