id,supplier,sku,expected_qty,received_qty,expected_date,warehouse,quality_status
PO-000070,SUP-172,FL-1796-2511,573,523,2026-07-06,WH-02,partial
PO-000071,SUP-145,FL-7185-247,913,624,2026-07-16,WH-01,partial
PO-000072,SUP-194,PO-1451-4637,189,615,2026-07-06,WH-01,pending
PO-000073,SUP-121,CH-1232-1829,843,42,2026-07-13,WH-02,pending
PO-000074,SUP-160,PO-2735-4344,528,817,2026-07-04,WH-01,accepted
PO-000075,SUP-001,EL-7854-3235,452,482,2026-07-30,WH-02,accepted
PO-000076,SUP-173,IN-2688-2539,208,128,2026-07-04,WH-02,accepted
PO-000077,SUP-192,IN-5553-1859,268,335,2026-08-01,WH-01,accepted
PO-000078,SUP-150,PO-7172-4159,818,57,2026-07-16,WH-02,partial
PO-000079,SUP-055,IN-2809-2370,739,700,2026-07-28,WH-01,accepted
PO-000080,SUP-083,EL-6373-1831,334,48,2026-07-24,WH-01,accepted
PO-000081,SUP-130,PO-8858-1209,242,337,2026-07-09,WH-02,accepted
PO-000082,SUP-042,PO-5673-3999,661,887,2026-07-12,WH-01,pending
PO-000083,SUP-112,EL-5691-256,276,936,2026-07-10,WH-02,pending
PO-000084,SUP-192,EL-8849-2743,797,410,2026-07-29,WH-01,accepted
PO-000085,SUP-196,FL-1527-1016,972,607,2026-07-30,WH-02,accepted
PO-000086,SUP-163,IN-3292-2527,284,952,2026-07-29,WH-01,partial
PO-000087,SUP-127,FL-9843-020,622,424,2026-07-07,WH-01,pending
PO-000088,SUP-104,IN-5161-4163,724,409,2026-07-08,WH-02,accepted
PO-000089,SUP-191,FL-7163-2489,260,847,2026-07-24,WH-01,pending
PO-000090,SUP-044,EL-4633-1397,613,603,2026-08-04,WH-02,partial
PO-000091,SUP-088,CH-5787-3415,856,275,2026-07-30,WH-01,accepted
PO-000092,SUP-148,CH-6662-2971,179,406,2026-07-14,WH-01,accepted
PO-000093,SUP-108,CH-3278-4650,896,303,2026-07-20,WH-01,partial
PO-000094,SUP-037,EL-5692-3003,59,105,2026-07-27,WH-01,pending
PO-000095,SUP-048,CH-6771-068,905,691,2026-07-24,WH-02,accepted
PO-000096,SUP-038,FL-6795-1229,871,140,2026-07-12,WH-02,partial
PO-000097,SUP-160,CH-8852-4353,253,270,2026-07-19,WH-01,partial
PO-000098,SUP-156,IN-2513-2416,156,792,2026-08-01,WH-01,pending
PO-000099,SUP-149,CH-6737-3083,668,283,2026-08-01,WH-02,partial
PO-000100,SUP-022,FL-4258-4095,834,868,2026-07-24,WH-02,accepted
PO-000101,SUP-100,EL-2717-1064,96,590,2026-07-10,WH-01,partial
PO-000102,SUP-109,PO-5543-1343,335,152,2026-07-25,WH-01,accepted
PO-000103,SUP-052,CH-8138-568,333,347,2026-07-22,WH-01,partial
PO-000104,SUP-058,FL-2852-1213,139,782,2026-07-16,WH-02,pending
PO-000105,SUP-112,EL-8999-1284,901,383,2026-07-14,WH-01,accepted
PO-000106,SUP-193,EL-4972-2317,228,709,2026-08-06,WH-01,partial
PO-000107,SUP-132,IN-7673-1752,208,236,2026-08-04,WH-01,partial
PO-000108,SUP-146,IN-2887-3017,336,992,2026-07-19,WH-02,accepted
PO-000109,SUP-042,CH-9697-290,255,244,2026-08-07,WH-02,partial
PO-000110,SUP-161,PO-9631-2358,51,545,2026-07-30,WH-01,accepted
PO-000111,SUP-099,IN-4357-1120,279,722,2026-07-28,WH-02,pending
PO-000112,SUP-119,CH-6365-886,769,383,2026-07-14,WH-02,accepted
PO-000113,SUP-086,FL-9499-3621,495,297,2026-08-02,WH-02,pending
PO-000114,SUP-146,CH-9395-3177,592,112,2026-07-15,WH-02,pending
PO-000115,SUP-040,EL-1683-4514,408,473,2026-08-02,WH-02,partial
PO-000116,SUP-092,PO-7461-3023,132,155,2026-08-06,WH-02,partial
PO-000117,SUP-018,PO-3144-3544,307,739,2026-07-13,WH-02,accepted
PO-000118,SUP-038,CH-9369-500,801,147,2026-07-13,WH-01,accepted
PO-000119,SUP-116,PO-2580-2269,365,606,2026-07-20,WH-02,partial
PO-000120,SUP-082,EL-4082-2390,370,720,2026-07-09,WH-02,accepted
PO-000121,SUP-198,FL-3983-403,874,104,2026-07-14,WH-01,accepted
PO-000122,SUP-123,EL-9440-1352,523,525,2026-07-30,WH-02,partial
PO-000123,SUP-021,EL-8262-1276,740,81,2026-07-28,WH-01,pending
PO-000124,SUP-101,IN-5095-2457,840,312,2026-08-07,WH-01,partial
PO-000125,SUP-195,PO-5349-055,527,854,2026-07-26,WH-01,pending
PO-000126,SUP-130,CH-8654-799,151,85,2026-07-09,WH-01,accepted
PO-000127,SUP-055,CH-1276-669,788,279,2026-07-30,WH-02,accepted
PO-000128,SUP-002,CH-1976-2334,708,64,2026-07-22,WH-01,accepted
PO-000129,SUP-008,EL-3384-4881,663,438,2026-07-21,WH-01,accepted
PO-000130,SUP-141,FL-8263-2841,51,229,2026-08-03,WH-01,accepted
PO-000131,SUP-116,EL-5053-3180,116,854,2026-07-14,WH-02,partial
PO-000132,SUP-003,EL-7808-2672,342,549,2026-08-06,WH-02,accepted
PO-000133,SUP-114,IN-2142-448,506,486,2026-07-04,WH-02,accepted
PO-000134,SUP-140,EL-4815-872,345,459,2026-07-10,WH-01,pending
PO-000135,SUP-025,IN-4309-3577,115,919,2026-07-07,WH-02,partial
PO-000136,SUP-046,FL-3103-602,396,598,2026-07-05,WH-02,accepted
PO-000137,SUP-027,CH-5041-1549,404,320,2026-07-15,WH-02,accepted
PO-000138,SUP-030,EL-5672-4827,172,586,2026-08-07,WH-02,accepted
PO-000139,SUP-072,CH-3559-2878,796,467,2026-07-18,WH-01,partial
PO-000140,SUP-038,IN-8509-1072,957,995,2026-07-17,WH-01,partial
PO-000141,SUP-010,PO-9781-3641,414,834,2026-08-06,WH-02,pending
PO-000142,SUP-155,PO-2893-1923,164,708,2026-07-15,WH-02,accepted
PO-000143,SUP-043,FL-3247-831,336,962,2026-07-17,WH-01,partial
PO-000144,SUP-107,IN-3760-1303,832,307,2026-07-15,WH-01,accepted
PO-000145,SUP-186,IN-9767-289,809,738,2026-07-19,WH-01,partial
PO-000146,SUP-113,CH-6081-4470,114,297,2026-07-26,WH-01,accepted
PO-000147,SUP-089,FL-7697-3449,835,817,2026-07-22,WH-02,pending
PO-000148,SUP-182,PO-7870-4145,464,654,2026-07-20,WH-01,partial
PO-000149,SUP-137,EL-9953-2552,469,55,2026-07-06,WH-02,accepted
PO-000150,SUP-119,IN-7266-2602,814,872,2026-07-06,WH-01,partial
PO-000151,SUP-051,EL-9551-2887,337,786,2026-07-20,WH-02,accepted
PO-000152,SUP-044,FL-9952-3610,162,678,2026-08-01,WH-02,accepted
PO-000153,SUP-141,EL-7158-880,914,819,2026-07-28,WH-02,accepted
PO-000154,SUP-174,FL-1953-2417,547,262,2026-07-10,WH-01,partial
PO-000155,SUP-156,CH-3164-4050,243,689,2026-07-28,WH-02,accepted
PO-000156,SUP-190,CH-9331-2705,125,878,2026-07-16,WH-01,pending
PO-000157,SUP-039,EL-9225-4210,403,680,2026-07-31,WH-02,pending
PO-000158,SUP-132,PO-4099-2505,571,129,2026-07-12,WH-01,partial
PO-000159,SUP-110,EL-5573-3348,169,466,2026-07-27,WH-01,accepted
PO-000160,SUP-046,IN-7837-1940,178,586,2026-08-06,WH-02,pending
PO-000161,SUP-020,EL-9804-1190,321,345,2026-07-18,WH-01,accepted
PO-000162,SUP-013,CH-7670-2679,149,948,2026-07-05,WH-02,partial
PO-000163,SUP-029,FL-4624-1389,902,269,2026-07-24,WH-01,partial
PO-000164,SUP-092,FL-8977-4402,329,629,2026-07-15,WH-01,pending
PO-000165,SUP-109,CH-8022-937,940,668,2026-07-16,WH-02,pending
PO-000166,SUP-200,FL-6314-1253,126,249,2026-08-07,WH-01,accepted
PO-000167,SUP-142,CH-1612-3317,577,821,2026-07-30,WH-02,accepted
PO-000168,SUP-182,PO-2439-2007,144,910,2026-08-03,WH-01,partial
PO-000169,SUP-110,IN-7459-1888,687,457,2026-07-23,WH-02,accepted
PO-000170,SUP-161,EL-1135-2303,916,972,2026-07-29,WH-01,accepted
PO-000171,SUP-017,CH-2069-492,449,785,2026-07-15,WH-02,accepted
PO-000172,SUP-079,EL-4039-802,953,140,2026-08-07,WH-01,pending
PO-000173,SUP-087,CH-1742-3935,203,663,2026-07-24,WH-01,pending
PO-000174,SUP-108,IN-6496-3703,274,196,2026-07-19,WH-02,accepted
PO-000175,SUP-135,EL-4453-4035,829,879,2026-07-21,WH-02,accepted
PO-000176,SUP-041,EL-8780-074,323,957,2026-07-08,WH-02,pending
PO-000177,SUP-058,PO-5882-3490,361,252,2026-07-29,WH-01,accepted
PO-000178,SUP-200,IN-7467-4596,307,361,2026-08-01,WH-02,accepted
PO-000179,SUP-071,CH-7925-468,235,348,2026-07-22,WH-02,partial
PO-000180,SUP-052,CH-1341-2065,496,103,2026-07-26,WH-02,pending
PO-000181,SUP-144,PO-2503-351,940,997,2026-07-25,WH-02,partial
PO-000182,SUP-143,CH-7792-4423,137,840,2026-07-19,WH-01,accepted
PO-000183,SUP-129,PO-7543-4008,453,568,2026-07-28,WH-01,accepted
PO-000184,SUP-131,EL-8861-3406,324,751,2026-07-11,WH-02,accepted
PO-000185,SUP-005,PO-8076-1807,336,991,2026-07-24,WH-02,pending
PO-000186,SUP-155,EL-4432-3469,497,285,2026-07-07,WH-01,accepted
PO-000187,SUP-112,IN-5440-3704,840,927,2026-08-04,WH-01,pending
PO-000188,SUP-117,EL-8426-2955,241,149,2026-07-11,WH-02,accepted
PO-000189,SUP-158,IN-5278-4833,727,530,2026-07-05,WH-02,accepted
PO-000190,SUP-023,CH-3935-2087,390,155,2026-07-19,WH-01,accepted
PO-000191,SUP-034,FL-9648-938,660,872,2026-08-04,WH-01,accepted
PO-000192,SUP-174,CH-5845-4245,95,503,2026-07-15,WH-01,accepted
PO-000193,SUP-072,FL-8990-2242,172,703,2026-07-13,WH-02,accepted
PO-000194,SUP-158,CH-1483-3065,924,418,2026-07-08,WH-02,accepted
PO-000195,SUP-051,FL-4325-2832,586,197,2026-07-11,WH-02,accepted
PO-000196,SUP-152,EL-2230-127,705,932,2026-08-07,WH-01,accepted
PO-000197,SUP-094,PO-6712-2615,400,795,2026-07-13,WH-02,pending
PO-000198,SUP-015,PO-3144-3544,621,942,2026-07-26,WH-02,accepted
PO-000199,SUP-152,FL-7731-408,960,971,2026-07-07,WH-01,pending
PO-000200,SUP-176,EL-8458-1726,55,387,2026-08-06,WH-02,pending
PO-000201,SUP-195,EL-5037-4475,746,788,2026-07-20,WH-01,accepted
PO-000202,SUP-067,PO-9285-3763,860,362,2026-07-10,WH-02,accepted
PO-000203,SUP-142,EL-6043-2235,311,135,2026-08-05,WH-01,pending
PO-000204,SUP-095,PO-1274-4178,954,739,2026-08-07,WH-01,pending
PO-000205,SUP-027,IN-3886-1367,562,908,2026-07-24,WH-01,accepted
PO-000206,SUP-160,IN-9376-1825,850,856,2026-07-22,WH-01,pending
PO-000207,SUP-132,EL-4115-1568,333,131,2026-07-12,WH-02,accepted
PO-000208,SUP-001,EL-6151-3953,981,144,2026-07-23,WH-02,pending
PO-000209,SUP-183,FL-7350-3247,708,670,2026-07-14,WH-01,accepted
PO-000210,SUP-084,CH-4867-2111,403,105,2026-07-23,WH-02,pending
PO-000211,SUP-097,EL-8504-610,488,55,2026-07-25,WH-02,pending
PO-000212,SUP-084,FL-7441-3110,577,349,2026-07-18,WH-02,partial
PO-000213,SUP-047,IN-5596-1680,522,967,2026-08-07,WH-01,accepted
PO-000214,SUP-130,EL-3100-4113,437,427,2026-08-04,WH-02,accepted
PO-000215,SUP-006,FL-7160-456,460,98,2026-07-14,WH-02,partial
PO-000216,SUP-037,IN-8912-4844,79,988,2026-07-22,WH-02,accepted
PO-000217,SUP-003,PO-6726-3653,905,212,2026-08-06,WH-02,pending
PO-000218,SUP-189,FL-4749-1333,525,425,2026-07-06,WH-01,accepted
PO-000219,SUP-137,EL-4858-2445,854,939,2026-07-30,WH-02,pending
PO-000220,SUP-087,EL-2077-3920,763,622,2026-07-08,WH-02,pending
PO-000221,SUP-024,FL-4793-3404,341,824,2026-07-16,WH-01,accepted
PO-000222,SUP-149,CH-1600-1647,149,517,2026-07-07,WH-01,pending
PO-000223,SUP-183,EL-7218-2302,327,471,2026-07-11,WH-02,pending
PO-000224,SUP-144,FL-3775-3068,823,756,2026-08-03,WH-01,partial
PO-000225,SUP-146,EL-7362-1659,420,473,2026-08-03,WH-02,partial
PO-000226,SUP-042,IN-7459-1888,322,992,2026-07-23,WH-02,accepted
PO-000227,SUP-056,EL-3488-2123,733,936,2026-07-06,WH-02,accepted
PO-000228,SUP-101,IN-1565-2835,932,872,2026-07-31,WH-02,accepted
PO-000229,SUP-155,PO-9922-3898,789,324,2026-07-19,WH-01,accepted
PO-000230,SUP-052,EL-8451-2020,110,123,2026-07-04,WH-02,accepted
PO-000231,SUP-044,PO-2360-3170,748,80,2026-07-31,WH-02,accepted
PO-000232,SUP-015,CH-2777-1909,636,563,2026-07-08,WH-01,accepted
PO-000233,SUP-180,EL-6752-4256,361,349,2026-07-16,WH-02,partial
PO-000234,SUP-038,EL-5773-1795,516,885,2026-08-02,WH-02,partial
PO-000235,SUP-191,PO-2669-3294,961,431,2026-07-23,WH-02,accepted
PO-000236,SUP-131,IN-5200-4863,975,39,2026-08-01,WH-02,accepted
PO-000237,SUP-133,PO-2249-2693,989,985,2026-07-22,WH-02,accepted
PO-000238,SUP-083,EL-7059-1097,453,357,2026-07-31,WH-02,accepted
PO-000239,SUP-126,EL-8762-365,132,220,2026-07-16,WH-02,pending
PO-000240,SUP-161,PO-2779-2521,189,415,2026-08-04,WH-02,pending
PO-000241,SUP-005,CH-6551-2446,949,477,2026-07-10,WH-02,pending
PO-000242,SUP-194,CH-1646-698,567,99,2026-08-03,WH-02,pending
PO-000243,SUP-080,PO-9902-2684,302,620,2026-08-07,WH-02,accepted
PO-000244,SUP-138,EL-8903-4289,119,834,2026-08-07,WH-01,accepted
PO-000245,SUP-071,FL-9961-2019,722,223,2026-07-09,WH-01,pending
PO-000246,SUP-159,CH-9715-2774,583,332,2026-07-20,WH-01,partial
PO-000247,SUP-189,EL-7158-880,794,567,2026-08-01,WH-01,accepted
PO-000248,SUP-080,IN-7419-1957,844,136,2026-07-19,WH-02,pending
PO-000249,SUP-099,FL-3509-324,947,60,2026-07-06,WH-02,accepted
PO-000250,SUP-020,FL-9728-4618,492,445,2026-07-12,WH-02,accepted
PO-000251,SUP-013,CH-7137-4431,987,596,2026-07-21,WH-02,partial
PO-000252,SUP-096,EL-3643-117,931,527,2026-07-25,WH-01,pending
PO-000253,SUP-055,IN-1399-2459,491,460,2026-07-11,WH-02,accepted
PO-000254,SUP-029,EL-6557-2300,220,937,2026-07-22,WH-01,accepted
PO-000255,SUP-093,EL-2111-3077,661,664,2026-07-24,WH-02,accepted
PO-000256,SUP-164,EL-3044-1147,856,692,2026-07-18,WH-01,accepted
PO-000257,SUP-194,PO-5476-2209,802,358,2026-07-19,WH-01,accepted
PO-000258,SUP-173,FL-4823-226,879,722,2026-07-04,WH-02,pending
PO-000259,SUP-014,IN-5463-2616,357,888,2026-07-13,WH-02,accepted
PO-000260,SUP-121,FL-7779-3440,571,876,2026-07-08,WH-02,pending
PO-000261,SUP-025,CH-9708-1044,225,185,2026-07-09,WH-02,accepted
PO-000262,SUP-188,EL-6626-1106,630,776,2026-08-06,WH-01,accepted
PO-000263,SUP-194,FL-4210-2912,404,124,2026-07-08,WH-02,partial
PO-000264,SUP-020,FL-9503-4855,547,733,2026-07-06,WH-01,partial
PO-000265,SUP-035,EL-4620-3497,296,955,2026-07-23,WH-01,partial
PO-000266,SUP-008,PO-8398-2344,102,43,2026-07-18,WH-01,partial
PO-000267,SUP-193,EL-6682-3769,509,426,2026-08-01,WH-01,pending
PO-000268,SUP-018,FL-4947-2584,754,552,2026-07-07,WH-02,pending
PO-000269,SUP-123,IN-2762-1021,371,769,2026-08-01,WH-01,partial
PO-000270,SUP-015,FL-5463-1668,122,660,2026-07-29,WH-02,accepted
PO-000271,SUP-101,EL-3227-4791,657,383,2026-07-29,WH-02,accepted
PO-000272,SUP-047,FL-7580-3218,592,891,2026-07-13,WH-02,partial
PO-000273,SUP-033,EL-1627-1520,248,381,2026-07-15,WH-01,partial
PO-000274,SUP-196,FL-8360-3697,685,529,2026-07-17,WH-01,accepted
PO-000275,SUP-126,CH-7536-2275,301,789,2026-07-15,WH-02,accepted
PO-000276,SUP-189,PO-8528-3252,886,39,2026-07-05,WH-01,pending
PO-000277,SUP-135,IN-6043-1257,819,227,2026-07-13,WH-02,partial
PO-000278,SUP-007,EL-5458-4941,610,649,2026-07-06,WH-02,accepted
PO-000279,SUP-068,PO-4535-1578,842,908,2026-07-07,WH-01,partial
PO-000280,SUP-117,PO-2381-2469,140,130,2026-07-31,WH-02,pending
PO-000281,SUP-113,CH-3148-3749,431,762,2026-07-08,WH-01,accepted
PO-000282,SUP-009,CH-6022-1388,420,826,2026-07-30,WH-01,accepted
PO-000283,SUP-043,IN-5055-1082,971,763,2026-07-30,WH-02,accepted
PO-000284,SUP-027,PO-3693-4597,794,101,2026-07-05,WH-02,accepted
PO-000285,SUP-169,FL-2928-1238,667,936,2026-07-09,WH-01,pending
PO-000286,SUP-131,CH-7820-2291,597,442,2026-07-18,WH-02,accepted
PO-000287,SUP-133,EL-2496-1075,221,721,2026-07-06,WH-02,partial
PO-000288,SUP-148,IN-8893-1299,72,410,2026-07-26,WH-01,partial
PO-000289,SUP-111,IN-3702-2166,354,834,2026-07-07,WH-01,accepted
PO-000290,SUP-096,CH-6649-1722,970,820,2026-08-03,WH-02,accepted
PO-000291,SUP-190,CH-9227-3972,865,422,2026-07-18,WH-02,partial
PO-000292,SUP-134,CH-3487-4221,421,83,2026-07-26,WH-01,accepted
PO-000293,SUP-081,EL-3213-4232,681,844,2026-07-16,WH-02,accepted
PO-000294,SUP-181,IN-5440-3704,911,353,2026-07-04,WH-01,accepted
PO-000295,SUP-009,IN-8758-446,379,56,2026-07-26,WH-01,accepted
PO-000296,SUP-104,PO-9132-4939,75,313,2026-07-15,WH-02,partial
PO-000297,SUP-088,FL-9072-202,817,220,2026-08-07,WH-01,accepted
PO-000298,SUP-027,IN-7094-2895,952,854,2026-08-03,WH-01,accepted
PO-000299,SUP-002,EL-6710-3784,351,724,2026-07-07,WH-02,accepted
PO-000300,SUP-163,PO-7753-2129,381,631,2026-07-06,WH-02,partial
PO-000301,SUP-078,PO-6997-2935,899,767,2026-07-04,WH-02,partial
PO-000302,SUP-035,IN-5529-548,312,199,2026-07-05,WH-02,pending
PO-000303,SUP-137,PO-6889-2331,233,852,2026-07-28,WH-01,accepted
PO-000304,SUP-016,CH-5129-3515,236,696,2026-07-13,WH-02,accepted
PO-000305,SUP-072,IN-9918-2828,475,529,2026-08-06,WH-01,accepted
PO-000306,SUP-160,CH-4221-4822,78,862,2026-07-21,WH-01,accepted
PO-000307,SUP-166,IN-4712-4891,525,654,2026-08-05,WH-01,accepted
PO-000308,SUP-058,IN-9323-2430,641,309,2026-07-18,WH-02,accepted
PO-000309,SUP-056,IN-5734-943,604,125,2026-07-11,WH-01,pending
PO-000310,SUP-131,EL-8920-3706,55,151,2026-07-30,WH-02,accepted
PO-000311,SUP-034,PO-9547-4308,438,719,2026-07-18,WH-02,partial
PO-000312,SUP-143,IN-6973-1057,795,726,2026-07-11,WH-01,partial
PO-000313,SUP-200,CH-4900-1310,427,196,2026-07-11,WH-02,pending
PO-000314,SUP-200,EL-8730-4785,74,848,2026-08-01,WH-02,partial
PO-000315,SUP-013,FL-3247-831,115,908,2026-07-13,WH-01,accepted
PO-000316,SUP-065,FL-7155-1216,862,269,2026-08-07,WH-02,accepted
PO-000317,SUP-084,EL-9682-463,865,491,2026-07-24,WH-02,pending
PO-000318,SUP-151,CH-2755-032,382,625,2026-07-22,WH-02,pending
PO-000319,SUP-002,FL-3912-424,946,376,2026-07-10,WH-02,accepted
PO-000320,SUP-057,CH-9918-4271,611,758,2026-07-31,WH-02,partial
PO-000321,SUP-015,PO-8212-2528,674,182,2026-08-01,WH-02,accepted
PO-000322,SUP-120,FL-4144-124,669,120,2026-08-01,WH-02,accepted
PO-000323,SUP-063,IN-4031-2873,400,395,2026-07-17,WH-01,pending
PO-000324,SUP-134,CH-5732-862,557,916,2026-07-12,WH-02,partial
PO-000325,SUP-050,FL-7746-3357,76,553,2026-07-09,WH-02,accepted
PO-000326,SUP-021,EL-1468-3710,541,538,2026-07-13,WH-02,partial
PO-000327,SUP-036,EL-1246-2624,937,368,2026-07-22,WH-02,accepted
PO-000328,SUP-067,IN-9471-2776,856,929,2026-07-24,WH-01,pending
PO-000329,SUP-126,FL-7956-1629,265,205,2026-08-04,WH-02,accepted
PO-000330,SUP-056,IN-2958-1034,779,997,2026-07-27,WH-02,accepted
PO-000331,SUP-171,PO-4142-671,469,694,2026-07-20,WH-01,accepted
PO-000332,SUP-097,IN-1957-1834,989,174,2026-07-14,WH-01,pending
PO-000333,SUP-099,IN-9454-4720,959,843,2026-07-17,WH-01,accepted
PO-000334,SUP-062,EL-9706-953,150,961,2026-07-17,WH-02,accepted
PO-000335,SUP-055,FL-5733-4749,427,762,2026-08-01,WH-02,pending
PO-000336,SUP-132,IN-3031-980,560,317,2026-07-16,WH-02,accepted
PO-000337,SUP-036,CH-6658-1121,891,744,2026-07-12,WH-01,pending
PO-000338,SUP-052,IN-5164-2657,496,252,2026-07-05,WH-01,accepted
PO-000339,SUP-088,PO-1952-3010,606,539,2026-07-12,WH-01,partial
PO-000340,SUP-022,PO-2023-2637,160,235,2026-07-28,WH-02,accepted
PO-000341,SUP-050,CH-9763-1288,779,274,2026-07-20,WH-01,accepted
PO-000342,SUP-024,EL-3970-1721,711,271,2026-07-30,WH-01,pending
PO-000343,SUP-031,CH-9605-541,68,675,2026-07-27,WH-02,accepted
PO-000344,SUP-159,CH-6629-743,154,355,2026-07-06,WH-02,pending
PO-000345,SUP-074,FL-6193-3396,526,459,2026-08-04,WH-02,pending
