id,supplier,location,overdue_hours
KLT-000055,SUP-094,Carrier,0
KLT-000056,SUP-017,WH-02,0
KLT-000057,SUP-009,WH-01,0
KLT-000058,SUP-076,WH-01,0
KLT-000059,SUP-195,Carrier,0
KLT-000060,SUP-175,WH-01,0
KLT-000061,SUP-174,Supplier,0
KLT-000062,SUP-117,WH-01,0
KLT-000063,SUP-054,Supplier,0
KLT-000064,SUP-119,WH-01,0
KLT-000065,SUP-075,WH-01,0
KLT-000066,SUP-084,WH-01,0
KLT-000067,SUP-005,Carrier,0
KLT-000068,SUP-106,WH-01,0
KLT-000069,SUP-131,Supplier,0
KLT-000070,SUP-134,WH-01,0
KLT-000071,SUP-144,WH-01,0
KLT-000072,SUP-024,Supplier,0
KLT-000073,SUP-158,WH-02,0
KLT-000074,SUP-008,Supplier,0
KLT-000075,SUP-160,Supplier,0
KLT-000076,SUP-116,Supplier,0
KLT-000077,SUP-187,Supplier,0
KLT-000078,SUP-133,Carrier,0
KLT-000079,SUP-079,Supplier,0
KLT-000080,SUP-159,WH-02,0
KLT-000081,SUP-100,WH-01,0
KLT-000082,SUP-133,WH-02,0
KLT-000083,SUP-193,Supplier,0
KLT-000084,SUP-023,WH-02,0
KLT-000085,SUP-145,Supplier,0
KLT-000086,SUP-081,Carrier,42
KLT-000087,SUP-059,Carrier,0
KLT-000088,SUP-131,Supplier,0
KLT-000089,SUP-189,Carrier,0
KLT-000090,SUP-137,WH-02,0
KLT-000091,SUP-020,WH-01,0
KLT-000092,SUP-175,WH-02,0
KLT-000093,SUP-118,Supplier,0
KLT-000094,SUP-085,WH-02,0
KLT-000095,SUP-163,Supplier,0
KLT-000096,SUP-138,WH-01,0
KLT-000097,SUP-014,WH-02,0
KLT-000098,SUP-003,WH-01,0
KLT-000099,SUP-119,WH-01,0
KLT-000100,SUP-154,Carrier,0
KLT-000101,SUP-199,Carrier,0
KLT-000102,SUP-161,Carrier,0
KLT-000103,SUP-105,Supplier,0
KLT-000104,SUP-109,WH-02,0
KLT-000105,SUP-200,Supplier,0
KLT-000106,SUP-199,Supplier,0
KLT-000107,SUP-121,WH-01,0
KLT-000108,SUP-196,Carrier,0
KLT-000109,SUP-071,Supplier,0
KLT-000110,SUP-186,WH-01,0
KLT-000111,SUP-173,Supplier,0
KLT-000112,SUP-032,WH-02,0
KLT-000113,SUP-072,Carrier,0
KLT-000114,SUP-136,WH-01,0
KLT-000115,SUP-110,Supplier,0
KLT-000116,SUP-120,WH-01,0
KLT-000117,SUP-063,WH-01,0
KLT-000118,SUP-175,Carrier,0
KLT-000119,SUP-183,WH-01,0
KLT-000120,SUP-042,Carrier,0
KLT-000121,SUP-004,WH-01,0
KLT-000122,SUP-066,Supplier,0
KLT-000123,SUP-164,Supplier,0
KLT-000124,SUP-041,Carrier,0
KLT-000125,SUP-024,Supplier,0
KLT-000126,SUP-134,Supplier,0
KLT-000127,SUP-133,WH-02,0
KLT-000128,SUP-051,Supplier,0
KLT-000129,SUP-043,WH-02,0
KLT-000130,SUP-038,Carrier,0
KLT-000131,SUP-085,WH-01,0
KLT-000132,SUP-180,Carrier,0
KLT-000133,SUP-134,Supplier,0
KLT-000134,SUP-120,Supplier,0
KLT-000135,SUP-144,WH-01,0
KLT-000136,SUP-070,WH-01,0
KLT-000137,SUP-005,Supplier,0
KLT-000138,SUP-181,WH-01,0
KLT-000139,SUP-016,WH-02,0
KLT-000140,SUP-053,WH-02,0
KLT-000141,SUP-191,WH-01,0
KLT-000142,SUP-116,WH-01,0
KLT-000143,SUP-090,WH-02,0
KLT-000144,SUP-198,WH-02,0
KLT-000145,SUP-066,Carrier,0
KLT-000146,SUP-188,Supplier,0
KLT-000147,SUP-087,Carrier,0
KLT-000148,SUP-180,WH-02,0
KLT-000149,SUP-144,Carrier,0
KLT-000150,SUP-121,Supplier,0
KLT-000151,SUP-198,WH-02,0
KLT-000152,SUP-017,WH-02,0
KLT-000153,SUP-022,WH-02,0
KLT-000154,SUP-013,Carrier,0
KLT-000155,SUP-132,Supplier,0
KLT-000156,SUP-123,Carrier,0
KLT-000157,SUP-196,WH-01,0
KLT-000158,SUP-034,WH-01,0
KLT-000159,SUP-079,Carrier,0
KLT-000160,SUP-101,WH-02,0
KLT-000161,SUP-002,Supplier,0
KLT-000162,SUP-114,WH-01,0
KLT-000163,SUP-169,WH-01,0
KLT-000164,SUP-097,Carrier,0
KLT-000165,SUP-152,WH-02,0
KLT-000166,SUP-140,WH-02,0
KLT-000167,SUP-176,Supplier,0
KLT-000168,SUP-169,Supplier,0
KLT-000169,SUP-090,WH-01,0
KLT-000170,SUP-093,WH-02,0
KLT-000171,SUP-132,WH-02,0
KLT-000172,SUP-112,Carrier,0
KLT-000173,SUP-023,Carrier,0
KLT-000174,SUP-011,Carrier,0
KLT-000175,SUP-130,WH-01,0
KLT-000176,SUP-060,WH-02,0
KLT-000177,SUP-103,WH-01,0
KLT-000178,SUP-032,WH-01,0
KLT-000179,SUP-077,Carrier,0
KLT-000180,SUP-038,WH-02,0
KLT-000181,SUP-085,WH-02,0
KLT-000182,SUP-190,Supplier,0
KLT-000183,SUP-121,WH-02,0
KLT-000184,SUP-046,Supplier,0
KLT-000185,SUP-036,WH-02,0
KLT-000186,SUP-098,Carrier,0
KLT-000187,SUP-198,Carrier,0
KLT-000188,SUP-110,WH-01,0
KLT-000189,SUP-163,WH-02,0
KLT-000190,SUP-194,Supplier,0
KLT-000191,SUP-009,Supplier,0
KLT-000192,SUP-109,WH-01,0
KLT-000193,SUP-057,Supplier,0
KLT-000194,SUP-081,Supplier,0
KLT-000195,SUP-164,Supplier,0
KLT-000196,SUP-022,WH-02,0
KLT-000197,SUP-064,Supplier,0
KLT-000198,SUP-053,Carrier,0
KLT-000199,SUP-115,Supplier,0
KLT-000200,SUP-023,WH-01,0
KLT-000201,SUP-032,Carrier,0
KLT-000202,SUP-053,Carrier,0
KLT-000203,SUP-126,WH-02,0
KLT-000204,SUP-147,Carrier,0
KLT-000205,SUP-024,Supplier,0
KLT-000206,SUP-057,Carrier,0
KLT-000207,SUP-177,Carrier,0
KLT-000208,SUP-167,Supplier,0
KLT-000209,SUP-151,WH-02,0
KLT-000210,SUP-189,WH-02,0
KLT-000211,SUP-098,WH-01,0
KLT-000212,SUP-104,Supplier,0
KLT-000213,SUP-124,Carrier,0
KLT-000214,SUP-179,WH-01,0
KLT-000215,SUP-059,WH-01,0
KLT-000216,SUP-100,WH-02,0
KLT-000217,SUP-189,Carrier,0
KLT-000218,SUP-180,WH-02,0
KLT-000219,SUP-143,Supplier,0
KLT-000220,SUP-036,Carrier,0
KLT-000221,SUP-108,WH-01,0
KLT-000222,SUP-154,WH-02,0
KLT-000223,SUP-071,Carrier,0
KLT-000224,SUP-086,WH-02,0
KLT-000225,SUP-059,Supplier,0
KLT-000226,SUP-182,Supplier,0
KLT-000227,SUP-117,Carrier,0
KLT-000228,SUP-129,Supplier,0
KLT-000229,SUP-025,Carrier,0
KLT-000230,SUP-057,WH-01,0
KLT-000231,SUP-083,WH-02,0
KLT-000232,SUP-075,WH-01,0
KLT-000233,SUP-072,WH-01,0
KLT-000234,SUP-125,WH-01,0
KLT-000235,SUP-198,WH-02,0
KLT-000236,SUP-191,WH-01,0
KLT-000237,SUP-141,Supplier,0
KLT-000238,SUP-142,WH-01,0
KLT-000239,SUP-048,Carrier,0
KLT-000240,SUP-116,Carrier,0
KLT-000241,SUP-040,WH-02,0
KLT-000242,SUP-156,WH-02,0
KLT-000243,SUP-182,Supplier,0
KLT-000244,SUP-184,Supplier,0
KLT-000245,SUP-108,Carrier,0
KLT-000246,SUP-172,Carrier,0
KLT-000247,SUP-057,Carrier,0
KLT-000248,SUP-108,WH-02,0
KLT-000249,SUP-012,WH-01,0
KLT-000250,SUP-114,WH-01,0
KLT-000251,SUP-183,WH-01,0
KLT-000252,SUP-078,WH-01,0
KLT-000253,SUP-166,WH-01,0
KLT-000254,SUP-173,WH-01,0
KLT-000255,SUP-001,WH-01,0
KLT-000256,SUP-129,Supplier,0
KLT-000257,SUP-175,Supplier,0
KLT-000258,SUP-001,WH-01,0
KLT-000259,SUP-156,Carrier,0
KLT-000260,SUP-191,Supplier,0
KLT-000261,SUP-200,Supplier,0
KLT-000262,SUP-022,WH-02,0
KLT-000263,SUP-044,Supplier,0
KLT-000264,SUP-098,WH-02,0
KLT-000265,SUP-168,Carrier,0
KLT-000266,SUP-124,Carrier,0
KLT-000267,SUP-059,WH-02,0
KLT-000268,SUP-044,WH-01,0
KLT-000269,SUP-066,Supplier,0
KLT-000270,SUP-136,WH-02,0
KLT-000271,SUP-006,Carrier,0
KLT-000272,SUP-100,Supplier,0
KLT-000273,SUP-116,WH-02,0
KLT-000274,SUP-175,WH-02,0
KLT-000275,SUP-181,WH-01,0
KLT-000276,SUP-183,Supplier,0
KLT-000277,SUP-095,WH-01,0
KLT-000278,SUP-194,WH-01,0
KLT-000279,SUP-159,WH-01,0
KLT-000280,SUP-078,Supplier,0
KLT-000281,SUP-180,Supplier,0
KLT-000282,SUP-104,Carrier,0
KLT-000283,SUP-163,Carrier,0
KLT-000284,SUP-177,Supplier,0
KLT-000285,SUP-174,WH-02,0
KLT-000286,SUP-081,WH-02,0
KLT-000287,SUP-030,Supplier,0
KLT-000288,SUP-068,Carrier,0
KLT-000289,SUP-116,Supplier,0
KLT-000290,SUP-145,Carrier,0
KLT-000291,SUP-044,Carrier,0
KLT-000292,SUP-181,WH-01,0
KLT-000293,SUP-049,Carrier,0
KLT-000294,SUP-051,WH-02,0
KLT-000295,SUP-127,WH-01,0
KLT-000296,SUP-039,Carrier,0
KLT-000297,SUP-088,Supplier,0
KLT-000298,SUP-088,WH-02,0
KLT-000299,SUP-057,Carrier,0
KLT-000300,SUP-099,WH-01,0
KLT-000301,SUP-137,Carrier,0
KLT-000302,SUP-124,Supplier,0
KLT-000303,SUP-021,Carrier,0
KLT-000304,SUP-078,WH-02,0
KLT-000305,SUP-131,Carrier,0
KLT-000306,SUP-091,WH-01,0
KLT-000307,SUP-093,WH-02,0
KLT-000308,SUP-160,WH-01,0
KLT-000309,SUP-186,WH-01,0
KLT-000310,SUP-115,Supplier,0
KLT-000311,SUP-180,Carrier,0
KLT-000312,SUP-052,Carrier,0
KLT-000313,SUP-024,WH-02,0
KLT-000314,SUP-107,Supplier,0
KLT-000315,SUP-091,WH-01,0
KLT-000316,SUP-164,Supplier,0
KLT-000317,SUP-187,WH-02,0
KLT-000318,SUP-115,Carrier,0
KLT-000319,SUP-095,Supplier,0
KLT-000320,SUP-140,WH-02,0
KLT-000321,SUP-031,WH-02,0
KLT-000322,SUP-191,Carrier,0
KLT-000323,SUP-125,WH-01,0
KLT-000324,SUP-061,Supplier,0
KLT-000325,SUP-060,Carrier,0
KLT-000326,SUP-147,WH-02,0
KLT-000327,SUP-093,WH-01,0
KLT-000328,SUP-063,Supplier,0
KLT-000329,SUP-159,Supplier,0
KLT-000330,SUP-096,WH-02,0
KLT-000331,SUP-093,WH-02,0
KLT-000332,SUP-102,WH-01,0
KLT-000333,SUP-079,Supplier,0
KLT-000334,SUP-194,Carrier,0
KLT-000335,SUP-031,Supplier,0
KLT-000336,SUP-170,WH-01,0
KLT-000337,SUP-193,WH-02,0
KLT-000338,SUP-059,Carrier,0
KLT-000339,SUP-121,WH-02,0
KLT-000340,SUP-042,Carrier,0
KLT-000341,SUP-176,Supplier,0
KLT-000342,SUP-024,Carrier,0
KLT-000343,SUP-032,WH-02,0
KLT-000344,SUP-146,WH-01,0
KLT-000345,SUP-166,Carrier,0
KLT-000346,SUP-049,Carrier,0
KLT-000347,SUP-145,Carrier,0
KLT-000348,SUP-034,WH-01,0
KLT-000349,SUP-148,Supplier,0
KLT-000350,SUP-097,Carrier,0
KLT-000351,SUP-104,Supplier,0
KLT-000352,SUP-013,WH-02,0
KLT-000353,SUP-052,Supplier,0
KLT-000354,SUP-198,WH-01,0
KLT-000355,SUP-081,WH-01,0
KLT-000356,SUP-118,Carrier,0
KLT-000357,SUP-188,WH-01,0
KLT-000358,SUP-199,WH-01,0
KLT-000359,SUP-133,Carrier,0
KLT-000360,SUP-081,WH-01,0
KLT-000361,SUP-071,Supplier,0
KLT-000362,SUP-188,Supplier,0
KLT-000363,SUP-008,WH-02,0
KLT-000364,SUP-169,Carrier,0
KLT-000365,SUP-013,Supplier,0
KLT-000366,SUP-091,WH-02,0
KLT-000367,SUP-158,WH-01,0
KLT-000368,SUP-003,WH-02,0
KLT-000369,SUP-039,Carrier,0
KLT-000370,SUP-028,Carrier,0
KLT-000371,SUP-076,Supplier,0
KLT-000372,SUP-165,WH-01,0
KLT-000373,SUP-006,Supplier,0
KLT-000374,SUP-195,Carrier,0
KLT-000375,SUP-116,Carrier,0
KLT-000376,SUP-032,Carrier,0
KLT-000377,SUP-100,WH-01,0
KLT-000378,SUP-181,WH-01,0
KLT-000379,SUP-047,Supplier,0
KLT-000380,SUP-039,Carrier,0
KLT-000381,SUP-151,Carrier,0
KLT-000382,SUP-176,Supplier,0
KLT-000383,SUP-053,WH-02,0
KLT-000384,SUP-170,Supplier,0
KLT-000385,SUP-196,Carrier,0
KLT-000386,SUP-111,WH-02,0
KLT-000387,SUP-131,Supplier,0
KLT-000388,SUP-189,Carrier,0
KLT-000389,SUP-082,Supplier,0
KLT-000390,SUP-098,WH-02,0
KLT-000391,SUP-029,WH-01,0
KLT-000392,SUP-067,Supplier,0
KLT-000393,SUP-018,WH-01,0
KLT-000394,SUP-196,WH-02,0
KLT-000395,SUP-046,WH-01,0
KLT-000396,SUP-044,WH-02,0
KLT-000397,SUP-189,Supplier,0
KLT-000398,SUP-077,Carrier,0
KLT-000399,SUP-036,Supplier,0
KLT-000400,SUP-137,Carrier,0
KLT-000401,SUP-149,Supplier,0
KLT-000402,SUP-059,WH-02,0
KLT-000403,SUP-014,Carrier,0
KLT-000404,SUP-040,Carrier,0
KLT-000405,SUP-066,Carrier,0
KLT-000406,SUP-098,Supplier,0
KLT-000407,SUP-051,WH-01,0
KLT-000408,SUP-172,Supplier,0
KLT-000409,SUP-192,Supplier,0
KLT-000410,SUP-125,Carrier,0
KLT-000411,SUP-052,WH-01,0
KLT-000412,SUP-090,WH-02,0
KLT-000413,SUP-063,Supplier,0
KLT-000414,SUP-062,WH-02,0
KLT-000415,SUP-157,WH-02,0
KLT-000416,SUP-040,WH-01,0
KLT-000417,SUP-015,Carrier,0
KLT-000418,SUP-035,Carrier,0
KLT-000419,SUP-048,WH-01,0
KLT-000420,SUP-050,Carrier,0
KLT-000421,SUP-190,WH-01,0
KLT-000422,SUP-197,Supplier,0
KLT-000423,SUP-057,WH-02,0
KLT-000424,SUP-185,Carrier,0
KLT-000425,SUP-105,Carrier,0
KLT-000426,SUP-198,Supplier,0
KLT-000427,SUP-084,WH-02,0
KLT-000428,SUP-008,WH-02,0
KLT-000429,SUP-041,WH-02,0
KLT-000430,SUP-003,Supplier,0
KLT-000431,SUP-165,WH-02,0
KLT-000432,SUP-044,Carrier,0
KLT-000433,SUP-010,Carrier,0
KLT-000434,SUP-173,WH-01,0
KLT-000435,SUP-065,WH-02,0
KLT-000436,SUP-119,Carrier,0
KLT-000437,SUP-098,Supplier,0
KLT-000438,SUP-016,Supplier,0
KLT-000439,SUP-008,WH-01,0
KLT-000440,SUP-004,Supplier,0
KLT-000441,SUP-175,Carrier,0
KLT-000442,SUP-187,Carrier,0
KLT-000443,SUP-042,WH-01,0
KLT-000444,SUP-078,Supplier,0
KLT-000445,SUP-046,WH-01,0
KLT-000446,SUP-035,WH-02,0
KLT-000447,SUP-090,WH-02,0
KLT-000448,SUP-114,Carrier,0
KLT-000449,SUP-002,WH-02,0
KLT-000450,SUP-043,WH-02,0
KLT-000451,SUP-157,Supplier,0
KLT-000452,SUP-008,WH-01,0
KLT-000453,SUP-088,WH-02,0
KLT-000454,SUP-193,WH-01,0
KLT-000455,SUP-188,Supplier,0
KLT-000456,SUP-070,WH-02,0
KLT-000457,SUP-038,WH-01,0
KLT-000458,SUP-002,WH-02,0
KLT-000459,SUP-150,WH-02,0
KLT-000460,SUP-144,Supplier,0
KLT-000461,SUP-152,Supplier,0
KLT-000462,SUP-001,Supplier,0
KLT-000463,SUP-180,WH-02,0
KLT-000464,SUP-038,WH-01,0
KLT-000465,SUP-154,Supplier,0
KLT-000466,SUP-153,WH-02,0
KLT-000467,SUP-063,WH-02,0
KLT-000468,SUP-072,Carrier,0
KLT-000469,SUP-158,WH-01,0
KLT-000470,SUP-071,WH-02,0
KLT-000471,SUP-129,WH-01,0
KLT-000472,SUP-099,Carrier,0
KLT-000473,SUP-110,Carrier,0
KLT-000474,SUP-041,Carrier,0
KLT-000475,SUP-164,WH-02,0
KLT-000476,SUP-044,Supplier,0
KLT-000477,SUP-025,WH-01,0
KLT-000478,SUP-033,Supplier,0
KLT-000479,SUP-054,Carrier,0
KLT-000480,SUP-020,Carrier,0
KLT-000481,SUP-001,WH-01,0
KLT-000482,SUP-093,WH-02,0
KLT-000483,SUP-156,WH-02,0
KLT-000484,SUP-115,Supplier,0
KLT-000485,SUP-029,Carrier,0
KLT-000486,SUP-017,WH-02,0
KLT-000487,SUP-196,Supplier,0
KLT-000488,SUP-175,WH-02,0
KLT-000489,SUP-116,Supplier,0
KLT-000490,SUP-157,WH-01,0
KLT-000491,SUP-156,Carrier,0
KLT-000492,SUP-002,Supplier,0
KLT-000493,SUP-082,Supplier,0
KLT-000494,SUP-189,Carrier,0
KLT-000495,SUP-098,Carrier,0
KLT-000496,SUP-143,WH-01,0
KLT-000497,SUP-072,WH-02,0
KLT-000498,SUP-119,Supplier,0
KLT-000499,SUP-192,Supplier,0
KLT-000500,SUP-127,WH-02,0
KLT-000501,SUP-049,Carrier,0
KLT-000502,SUP-189,Supplier,0
KLT-000503,SUP-093,Supplier,0
KLT-000504,SUP-067,WH-02,0
KLT-000505,SUP-124,WH-02,0
KLT-000506,SUP-110,Supplier,0
KLT-000507,SUP-128,Supplier,0
KLT-000508,SUP-188,WH-01,0
KLT-000509,SUP-005,WH-01,0
KLT-000510,SUP-118,Supplier,0
KLT-000511,SUP-047,Supplier,0
KLT-000512,SUP-027,Supplier,0
KLT-000513,SUP-156,WH-02,0
KLT-000514,SUP-128,WH-02,0
KLT-000515,SUP-139,Carrier,0
KLT-000516,SUP-160,Supplier,0
KLT-000517,SUP-146,WH-02,0
KLT-000518,SUP-043,Supplier,0
KLT-000519,SUP-148,Carrier,0
KLT-000520,SUP-175,Carrier,0
KLT-000521,SUP-099,WH-01,0
KLT-000522,SUP-082,Carrier,0
KLT-000523,SUP-142,WH-01,0
KLT-000524,SUP-040,WH-01,0
KLT-000525,SUP-189,WH-01,0
KLT-000526,SUP-193,WH-01,0
KLT-000527,SUP-012,Carrier,0
KLT-000528,SUP-188,Carrier,0
KLT-000529,SUP-169,Supplier,0
KLT-000530,SUP-115,WH-02,0
KLT-000531,SUP-007,WH-02,0
KLT-000532,SUP-108,WH-01,0
KLT-000533,SUP-058,Carrier,0
KLT-000534,SUP-124,Supplier,0
KLT-000535,SUP-052,Carrier,0
KLT-000536,SUP-107,WH-02,0
KLT-000537,SUP-096,Carrier,0
KLT-000538,SUP-130,WH-01,0
KLT-000539,SUP-157,WH-01,0
KLT-000540,SUP-192,WH-01,0
KLT-000541,SUP-146,WH-02,0
KLT-000542,SUP-087,Supplier,0
KLT-000543,SUP-180,WH-02,0
KLT-000544,SUP-115,Supplier,0
KLT-000545,SUP-058,Supplier,0
KLT-000546,SUP-079,WH-02,0
KLT-000547,SUP-098,Carrier,0
KLT-000548,SUP-026,Carrier,0
KLT-000549,SUP-052,Supplier,0
KLT-000550,SUP-097,Carrier,0
KLT-000551,SUP-152,WH-02,0
KLT-000552,SUP-096,WH-01,0
KLT-000553,SUP-178,WH-02,0
KLT-000554,SUP-096,WH-02,0
KLT-000555,SUP-094,Carrier,0
KLT-000556,SUP-045,WH-02,0
KLT-000557,SUP-046,Carrier,0
KLT-000558,SUP-164,Supplier,0
KLT-000559,SUP-062,Supplier,0
KLT-000560,SUP-010,WH-01,0
KLT-000561,SUP-162,Supplier,0
KLT-000562,SUP-063,Carrier,0
KLT-000563,SUP-006,WH-01,0
KLT-000564,SUP-123,WH-02,0
KLT-000565,SUP-108,WH-01,0
KLT-000566,SUP-081,WH-02,0
KLT-000567,SUP-079,Supplier,0
KLT-000568,SUP-122,WH-01,0
KLT-000569,SUP-120,Carrier,0
KLT-000570,SUP-005,Supplier,0
KLT-000571,SUP-160,Carrier,0
KLT-000572,SUP-102,Carrier,0
KLT-000573,SUP-181,Carrier,0
KLT-000574,SUP-161,Supplier,0
KLT-000575,SUP-092,Supplier,0
KLT-000576,SUP-017,WH-02,0
KLT-000577,SUP-147,Carrier,0
KLT-000578,SUP-143,Carrier,0
KLT-000579,SUP-126,WH-01,0
KLT-000580,SUP-051,WH-01,0
KLT-000581,SUP-067,Carrier,0
KLT-000582,SUP-031,WH-02,0
KLT-000583,SUP-026,WH-01,36
KLT-000584,SUP-140,WH-02,0
KLT-000585,SUP-075,Supplier,0
KLT-000586,SUP-026,WH-02,0
KLT-000587,SUP-140,WH-02,0
KLT-000588,SUP-194,WH-02,0
KLT-000589,SUP-181,Supplier,0
KLT-000590,SUP-134,Supplier,0
KLT-000591,SUP-092,Supplier,0
KLT-000592,SUP-092,WH-02,0
KLT-000593,SUP-112,Carrier,0
KLT-000594,SUP-068,WH-02,0
KLT-000595,SUP-172,Supplier,0
KLT-000596,SUP-080,Supplier,0
KLT-000597,SUP-088,Supplier,0
KLT-000598,SUP-105,WH-01,0
KLT-000599,SUP-003,Supplier,0
KLT-000600,SUP-162,Carrier,0
KLT-000601,SUP-020,WH-02,0
KLT-000602,SUP-075,Carrier,0
KLT-000603,SUP-073,Supplier,0
KLT-000604,SUP-103,WH-02,0
KLT-000605,SUP-063,WH-01,0
KLT-000606,SUP-172,Supplier,0
KLT-000607,SUP-043,WH-01,0
KLT-000608,SUP-074,WH-01,0
KLT-000609,SUP-169,Supplier,0
KLT-000610,SUP-111,WH-01,0
KLT-000611,SUP-009,Supplier,0
KLT-000612,SUP-176,Supplier,0
KLT-000613,SUP-077,WH-01,0
KLT-000614,SUP-068,Supplier,0
KLT-000615,SUP-171,WH-02,0
KLT-000616,SUP-141,WH-02,0
KLT-000617,SUP-074,WH-02,0
KLT-000618,SUP-017,WH-01,0
KLT-000619,SUP-018,Carrier,0
KLT-000620,SUP-074,WH-01,0
KLT-000621,SUP-023,WH-01,0
KLT-000622,SUP-090,Supplier,0
KLT-000623,SUP-099,Carrier,0
KLT-000624,SUP-167,Supplier,0
KLT-000625,SUP-150,WH-02,0
KLT-000626,SUP-137,Supplier,0
KLT-000627,SUP-139,Carrier,0
KLT-000628,SUP-051,WH-01,0
KLT-000629,SUP-097,Supplier,0
KLT-000630,SUP-060,WH-01,0
KLT-000631,SUP-155,Supplier,0
KLT-000632,SUP-138,WH-02,0
KLT-000633,SUP-063,Supplier,0
KLT-000634,SUP-061,WH-02,0
KLT-000635,SUP-126,WH-02,0
KLT-000636,SUP-042,WH-01,0
KLT-000637,SUP-139,WH-02,0
KLT-000638,SUP-062,WH-02,0
KLT-000639,SUP-194,WH-01,0
KLT-000640,SUP-032,Supplier,0
KLT-000641,SUP-041,Carrier,0
KLT-000642,SUP-085,Supplier,0
KLT-000643,SUP-183,WH-01,0
KLT-000644,SUP-101,WH-01,0
KLT-000645,SUP-033,WH-02,0
KLT-000646,SUP-007,WH-01,0
KLT-000647,SUP-151,WH-02,0
KLT-000648,SUP-079,WH-01,0
KLT-000649,SUP-196,Carrier,0
KLT-000650,SUP-129,Supplier,0
KLT-000651,SUP-132,Supplier,0
KLT-000652,SUP-093,Carrier,0
KLT-000653,SUP-027,Supplier,0
KLT-000654,SUP-156,Supplier,0
KLT-000655,SUP-055,WH-01,0
KLT-000656,SUP-124,Carrier,0
KLT-000657,SUP-090,Supplier,0
KLT-000658,SUP-122,WH-01,0
KLT-000659,SUP-094,WH-01,0
KLT-000660,SUP-103,Carrier,0
KLT-000661,SUP-011,WH-01,0
KLT-000662,SUP-196,WH-01,0
KLT-000663,SUP-058,WH-02,0
KLT-000664,SUP-049,WH-02,0
KLT-000665,SUP-139,WH-02,0
KLT-000666,SUP-162,WH-02,0
KLT-000667,SUP-180,Supplier,0
KLT-000668,SUP-169,Carrier,0
KLT-000669,SUP-124,Carrier,0
KLT-000670,SUP-100,WH-02,0
KLT-000671,SUP-126,Supplier,0
KLT-000672,SUP-013,Carrier,0
KLT-000673,SUP-065,WH-02,0
KLT-000674,SUP-182,WH-02,0
KLT-000675,SUP-034,Carrier,0
KLT-000676,SUP-080,Carrier,0
KLT-000677,SUP-090,WH-02,0
KLT-000678,SUP-006,WH-01,0
KLT-000679,SUP-116,Supplier,0
KLT-000680,SUP-173,Supplier,0
KLT-000681,SUP-181,Supplier,0
KLT-000682,SUP-104,WH-02,0
KLT-000683,SUP-160,WH-01,0
KLT-000684,SUP-179,Carrier,0
KLT-000685,SUP-011,WH-01,0
KLT-000686,SUP-006,Carrier,0
KLT-000687,SUP-044,Supplier,0
KLT-000688,SUP-075,Carrier,0
KLT-000689,SUP-059,WH-01,0
KLT-000690,SUP-197,WH-02,0
KLT-000691,SUP-144,Supplier,0
KLT-000692,SUP-115,Carrier,0
KLT-000693,SUP-006,WH-02,0
KLT-000694,SUP-197,WH-02,0
KLT-000695,SUP-047,Supplier,0
KLT-000696,SUP-109,WH-02,0
KLT-000697,SUP-059,Supplier,0
KLT-000698,SUP-155,Carrier,0
